policy_loss,fps,nupdates,total_timesteps,value_loss,explained_variance,policy_entropy,ep_len_mean,ep_reward_mean
-0.10108588635921478,217,4000,563859,0.0050636231899261475,0.9962075762450695,3.5490760803222656,1001.0,30471.05931015
-0.18324682116508484,217,4100,577959,0.01615135371685028,0.9866761825978756,3.5357472896575928,1001.0,30097.260689120005
-0.13149529695510864,217,4200,592059,0.011318019591271877,0.9916152879595757,3.507171392440796,1001.0,30844.51439861
-0.06433235108852386,217,4300,606159,0.01565222255885601,0.9909566715359688,3.473109245300293,1001.0,35140.67696499
-0.05690426006913185,217,4400,620259,0.01985136605799198,0.9864790951833129,3.4553184509277344,1001.0,35085.64246192
-0.018434204161167145,217,4500,634359,0.005124897230416536,0.9971813932061195,3.4446561336517334,1001.0,37611.18572555
-0.19127097725868225,217,4600,648459,0.0032208303455263376,0.9973789139185101,3.4330320358276367,1001.0,36805.17028921999
-0.09373515844345093,218,4700,662559,0.004650320392102003,0.996902939165011,3.4144628047943115,1001.0,35953.85168984
-0.029774777591228485,218,4800,676659,0.015664376318454742,0.9882262209430337,3.399902105331421,1001.0,37177.423041149996
0.024151630699634552,218,4900,690759,0.014527961611747742,0.9901624051854014,3.3837432861328125,1001.0,35683.4751582
-0.008746292442083359,218,5000,704859,0.014660720713436604,0.9899939056485891,3.3757245540618896,1001.0,35053.97535933
-0.024456486105918884,218,5100,718959,0.008219572715461254,0.9948347741737962,3.361018180847168,1001.0,33461.18421315
-0.026014169678092003,218,5200,733059,0.0037279443349689245,0.9971662333700806,3.327193021774292,1001.0,32471.247119420004
0.08422113955020905,218,5300,747159,0.0024155655410140753,0.9984047166071832,3.291759490966797,1001.0,33750.288124009996
-0.1501910388469696,218,5400,761259,0.011750425212085247,0.9915462667122483,3.268882989883423,1001.0,34907.40924113
0.06706073135137558,218,5500,775359,0.00331878662109375,0.9961561185773462,3.2522096633911133,1001.0,36744.47845461
-0.030275903642177582,218,5600,789459,0.003721458138898015,0.9972280757501721,3.2317569255828857,1001.0,34969.297112789995
-0.013285333290696144,218,5700,803559,0.014499172568321228,0.9920584838837385,3.1935765743255615,1001.0,35872.516012010004
-0.1472700983285904,218,5800,817659,0.004879280924797058,0.9969401261769235,3.1700825691223145,1001.0,38131.55884161
-0.0021567735821008682,218,5900,831759,0.002464691177010536,0.9980883506359532,3.1502315998077393,1001.0,38002.29884967
-0.15541477501392365,218,6000,845859,0.020487401634454727,0.9754644632339478,3.125389337539673,1001.0,38178.894647639994
