explained_variance,nupdates,policy_entropy,policy_loss,value_loss,total_timesteps,fps,ep_len_mean,ep_reward_mean
0.003200531005859375,8500,-2.8527445793151855,0.05928368866443634,6.414289951324463,1198359,295,1000.0,124524.65506237
0.000628352165222168,8600,-2.9336929321289062,-0.11641514301300049,6.185708522796631,1212459,295,1000.0,124690.24531516999
-0.0009531974792480469,8700,-3.052323579788208,-0.19871211051940918,6.007051944732666,1226559,295,1000.0,124873.24498565002
-0.0011713504791259766,8800,-3.140251398086548,0.17093023657798767,5.838468551635742,1240659,295,1000.0,125097.42979602999
-7.808208465576172e-05,8900,-3.1870334148406982,0.3364951014518738,5.666985034942627,1254759,295,1000.0,125234.10273862998
0.0032072067260742188,9000,-3.2172651290893555,-0.01243741437792778,5.479543685913086,1268859,295,1000.0,125336.63559879997
-0.0021032094955444336,9100,-3.2655985355377197,-0.28753992915153503,5.3370442390441895,1282959,295,1000.0,125347.82010743003
0.00538027286529541,9200,-3.3217427730560303,0.08122668415307999,5.207242488861084,1297059,295,1000.0,125371.04622589
0.0042057037353515625,9300,-3.3491666316986084,-0.12028628587722778,5.088192939758301,1311159,295,1000.0,125136.60985228
0.0031394362449645996,9400,-3.375122308731079,0.06061680614948273,4.976311206817627,1325259,296,1000.0,124976.64941572
0.003241300582885742,9500,-3.3705873489379883,-0.00855320692062378,4.919657230377197,1339359,296,1000.0,124895.26861945
0.002681136131286621,9600,-3.363219976425171,0.022394809871912003,4.837728977203369,1353459,296,1000.0,124889.80138568999
-0.007411003112792969,9700,-3.392639398574829,0.1262580007314682,4.757462501525879,1367559,296,1000.0,124834.12433197997
0.004037618637084961,9800,-3.420788049697876,-0.06874243170022964,4.705855369567871,1381659,296,1000.0,124879.14193674998
0.00013297796249389648,9900,-3.4691736698150635,-0.09976035356521606,4.640024185180664,1395759,296,1000.0,124838.74529994
0.0007834434509277344,10000,-3.5086328983306885,-0.13466258347034454,4.6214919090271,1409859,296,1000.0,124952.80940911999
-0.0015360116958618164,10100,-3.5027248859405518,0.08378125727176666,4.583425521850586,1423959,296,1000.0,125118.64378387999
-0.003329634666442871,10200,-3.514259099960327,0.054088689386844635,4.505059242248535,1438059,296,1000.0,125130.81236919001
-0.0018743276596069336,10300,-3.543503999710083,0.37837883830070496,4.491937160491943,1452159,296,1000.0,125161.14643896
0.002896130084991455,10400,-3.5711591243743896,-0.19912929832935333,4.442042827606201,1466259,296,1000.0,125217.30908882998
0.003526151180267334,10500,-3.578274726867676,0.16490226984024048,4.39735221862793,1480359,296,1000.0,125127.39120901002
0.0028715133666992188,10600,-3.607612371444702,-0.05686287209391594,4.296066761016846,1494459,296,1000.0,124898.34573883
0.0021112561225891113,10700,-3.5899667739868164,-0.1852768063545227,4.244088172912598,1508559,296,1000.0,124857.24397408997
8.529424667358398e-05,10800,-3.5944483280181885,0.047849882394075394,4.153264999389648,1522659,296,1000.0,123997.77449383
0.0019068717956542969,10900,-3.6515886783599854,0.2228819727897644,4.11212682723999,1536759,296,1000.0,123671.86451361999
0.000824272632598877,11000,-3.6267623901367188,-0.37513434886932373,4.117076873779297,1550859,296,1000.0,123544.57008607998
0.002554476261138916,11100,-3.6687474250793457,-0.19075226783752441,4.09195613861084,1564959,296,1000.0,123225.34241783999
0.0015627741813659668,11200,-3.7264862060546875,0.2642871141433716,4.028573513031006,1579059,296,1000.0,123280.81530211002
0.0009127259254455566,11300,-3.702754020690918,-0.01460340991616249,4.046272277832031,1593159,296,1000.0,123312.69649566
-0.002392292022705078,11400,-3.6665916442871094,0.17184583842754364,4.024884223937988,1607259,296,1000.0,123322.39457286001
0.00135040283203125,11500,-3.754772424697876,-0.30695009231567383,3.976651430130005,1621359,296,1000.0,123842.10669075004
-0.0029207468032836914,11600,-3.7648887634277344,-0.0905865877866745,3.944469451904297,1635459,296,1000.0,124102.28495153999
0.0014029145240783691,11700,-3.718956232070923,0.08411508053541183,3.918571710586548,1649559,296,1000.0,123995.02239012
0.0009652972221374512,11800,-3.7467503547668457,-0.1773950457572937,3.948249101638794,1663659,296,1000.0,124187.51693076002
0.002371490001678467,11900,-3.745234489440918,0.17671582102775574,3.9731287956237793,1677759,296,1000.0,124240.84332364
-0.0008625984191894531,12000,-3.7292323112487793,0.1631699502468109,3.9510245323181152,1691859,296,1000.0,124394.33977803
0.0023646950721740723,12100,-3.730498790740967,0.1461406946182251,3.903533935546875,1705959,296,1000.0,124449.13168629001
-0.0057370662689208984,12200,-3.76666259765625,0.07528376579284668,3.887347459793091,1720059,296,1000.0,124459.69601037998
-0.0007508993148803711,12300,-3.811255693435669,0.1272410750389099,3.8641414642333984,1734159,296,1000.0,124630.04253855001
