value_loss,total_timesteps,policy_entropy,fps,policy_loss,nupdates,explained_variance,ep_reward_mean,ep_len_mean
0.0007686845492571592,681683,-4.886180877685547,196,-0.32678502798080444,40100,0.5039398670196533,1336.16791473,1000.0
0.0009712358587421477,683383,-4.884918212890625,196,0.34799641370773315,40200,-0.7940192222595215,1336.16617563,1000.0
0.002099249977618456,685083,-4.934609413146973,196,-0.042940903455019,40300,0.623325765132904,1337.1529508499998,1000.0
0.00558882113546133,686783,-4.955656051635742,196,-0.9502063393592834,40400,0.38490432500839233,1338.0034539600001,1000.0
0.027308840304613113,688483,-4.981314659118652,196,0.14831967651844025,40500,-0.6731780767440796,1338.04358436,1000.0
0.005292787216603756,690183,-4.98903751373291,196,0.20555584132671356,40600,0.14986741542816162,1336.5559450800004,1000.0
6.761751865269616e-05,691883,-4.994966506958008,196,0.08459408581256866,40700,0.903968907892704,1338.16128598,1000.0
0.005243108607828617,693583,-5.01647424697876,196,-0.83962482213974,40800,0.42171764373779297,1337.60489401,1000.0
3.376354470674414e-06,695283,-5.017739772796631,196,0.06504316627979279,40900,0.9941210150718689,1339.4492911900002,1000.0
0.02388567477464676,696983,-5.024288177490234,196,-0.3074715733528137,41000,-0.2450416088104248,1366.2564770899999,1000.0
0.00014061862020753324,698683,-5.051726341247559,196,0.34609052538871765,41100,0.9351651147007942,1367.2368036099997,1000.0
0.012218250893056393,700383,-5.0663323402404785,196,1.2522097826004028,41200,-3.4375853538513184,1374.25326353,1000.0
0.00019291815988253802,702083,-5.112578868865967,196,0.04469629004597664,41300,0.7750323563814163,1377.5267245799998,1000.0
0.00791618600487709,703783,-5.124370574951172,196,-0.6858115792274475,41400,-1.2495694160461426,1375.46175839,1000.0
0.02816283144056797,705483,-5.128503322601318,196,-0.05557171255350113,41500,0.09576064348220825,1376.51759805,1000.0
4.719326534541324e-05,707183,-5.147993564605713,196,-0.40485039353370667,41600,0.9309541657567024,1380.87303166,1000.0
0.0005673989653587341,708883,-5.139843463897705,196,0.5145533680915833,41700,0.406546413898468,1380.6144669900002,1000.0
7.161335088312626e-05,710583,-5.172048091888428,197,-0.847679078578949,41800,0.9319814145565033,1388.34791768,1000.0
0.021052749827504158,712283,-5.180688858032227,196,-0.3219083249568939,41900,-0.1432875394821167,1397.3550921099998,1000.0
0.02013520523905754,713983,-5.1973114013671875,196,-0.4938211143016815,42000,-0.15995454788208008,1387.59497324,1000.0
0.001370217534713447,715683,-5.208977222442627,197,-0.42938515543937683,42100,0.34172379970550537,1386.5683074,1000.0
0.016291778534650803,717383,-5.207039833068848,196,0.8403062224388123,42200,-1.3415803909301758,1396.0787523700003,1000.0
0.0005485839210450649,719083,-5.2341628074646,197,-0.7313799262046814,42300,0.7505205571651459,1395.7416283500002,1000.0
0.0004928875714540482,720783,-5.291062355041504,197,0.271941214799881,42400,0.800659790635109,1405.80723024,1000.0
0.0376666858792305,722483,-5.277371406555176,196,-1.1102226972579956,42500,0.07160162925720215,1393.2344072399999,1000.0
0.0009382325224578381,724183,-5.27754020690918,197,-0.3268149197101593,42600,0.46842294931411743,1392.5514029800001,1000.0
0.013821986503899097,725883,-5.3087029457092285,196,0.2714027464389801,42700,-7.101502418518066,1386.7898035,1000.0
0.0004213445936329663,727583,-5.325654029846191,197,0.58809494972229,42800,0.8461541086435318,1387.5065122499996,1000.0
0.0001625691947992891,729283,-5.309209823608398,196,-0.23743227124214172,42900,0.9623458534479141,1379.6313543299998,1000.0
0.004699894692748785,730983,-5.320586681365967,196,-0.2710050642490387,43000,nan,1370.48315618,1000.0
