,cliprange,cliprange_vf,ent_coef,gamma,lam,learning_rate,max_grad_norm,n_steps,nminibatches,noptepochs,vf_coef,mean_auc,std_auc,mean_fer,std_fer
110,0.2,0.2,0.0,0.99,0.95,0.0001,0.5,32,4,4,1.0,3734.65,1963.9,7025.72,3151.13
111,0.2,0.2,0.1,0.99,0.95,0.00014,0.5,32,4,4,0.25,3730.84,1879.26,6539.47,2164.63
112,0.2,0.2,0.01,0.99,0.95,0.00014,0.5,32,4,4,0.25,3425.12,1838.54,6711.65,4329.3
113,0.2,0.2,0.1,0.99,0.95,0.0001,0.5,32,4,4,1.0,3417.84,1767.62,5762.57,2070.58
114,0.2,0.2,0.01,0.99,0.95,0.0001,0.5,32,4,4,0.25,3390.52,1844.41,6130.19,2710.75
115,0.2,0.2,0.0,0.99,0.95,0.0001,0.5,32,4,4,0.25,3376.13,1770.19,5753.01,1881.29
116,0.2,0.2,0.1,0.99,0.95,0.0001,0.5,32,4,4,0.5,3295.8,1682.35,5103.22,1670.54
117,0.2,0.2,0.001,0.99,0.95,0.0001,0.5,32,4,4,1.0,3244.41,1624.15,5609.58,1592.15
118,0.2,0.2,0.001,0.99,0.95,0.0001,0.5,32,4,4,0.25,3239.27,1835.57,6278.7,3515.53
119,0.2,0.2,0.01,0.99,0.95,0.0001,0.5,32,4,4,1.0,3094.24,1732.25,5857.87,3350.35
120,0.2,0.2,0.1,0.99,0.95,0.0001,0.5,32,4,4,0.75,3052.27,1459.62,4564.84,1380.91
121,0.2,0.2,0.1,0.99,0.95,0.00014,0.5,32,4,4,0.75,2998.06,1367.33,4645.68,2149.2
122,0.2,0.2,0.01,0.99,0.95,0.0001,0.5,32,4,4,0.75,2990.97,1481.01,4712.85,2520.75
123,0.2,0.2,0.001,0.99,0.95,0.0001,0.5,32,4,4,0.5,2881.3,1441.02,5143.64,2732.29
124,0.2,0.2,0.0,0.99,0.95,0.0001,0.5,32,4,4,0.75,2803.74,1332.47,4601.71,1483.92
125,0.2,0.2,0.0,0.99,0.95,0.0001,0.5,32,4,4,0.5,2747.46,1330.39,4561.97,1719.74
126,0.2,0.2,0.01,0.99,0.95,0.0001,0.5,32,4,4,0.5,2618.68,1268.22,4329.13,2279.3
127,0.2,0.2,0.001,0.99,0.95,0.0001,0.5,32,4,4,0.75,2604.05,1363.86,4223.61,1434.41
128,0.2,0.2,0.1,0.99,0.95,0.0001,0.5,32,4,4,0.25,2379.85,1132.6,3744.54,1920.27
