,ent_coef,gamma,kfac_clip,learning_rate,lr_schedule,max_grad_norm,n_steps,vf_coef,vf_fisher_coef,mean_auc,std_auc,mean_fer,std_fer
89,0.0,0.99,0.001,0.3,double_middle_drop,0.5,32,0.75,1.0,52613.16,8221.66,38941.8,16020.07
90,0.001,0.99,0.001,0.12,double_middle_drop,0.5,32,0.5,1.0,52622.93,7242.13,39983.31,9401.54
91,0.01,0.99,0.001,0.3,double_middle_drop,0.5,32,1.0,1.0,52756.79,8209.55,39426.54,9388.55
92,0.001,0.99,0.001,0.02,linear,0.5,32,1.0,1.0,52834.35,7664.92,43052.44,6775.31
93,0.0,0.99,0.001,0.12,double_middle_drop,0.5,32,0.5,1.0,52879.45,7094.26,41168.69,9706.74
94,0.01,0.99,0.001,0.02,constant,0.5,32,0.5,1.0,52897.01,7263.51,41796.67,13673.97
95,0.01,0.99,0.001,0.3,constant,0.5,32,0.5,1.0,52910.62,7889.76,40207.91,14395.77
96,0.0,0.99,0.001,0.3,constant,0.5,32,1.0,1.0,53207.25,7536.73,40724.68,13316.83
97,0.001,0.99,0.001,0.05,linear,0.5,32,0.25,1.0,53330.56,7007.0,44642.58,11044.14
98,0.001,0.99,0.001,0.3,constant,0.5,32,0.5,1.0,53354.09,7203.74,40952.79,16576.85
99,0.001,0.99,0.001,0.12,constant,0.5,32,0.25,1.0,53451.9,7812.1,40240.48,12819.08
100,0.01,0.99,0.001,0.05,constant,0.5,32,0.25,1.0,53680.38,7139.79,41126.61,10293.32
101,0.01,0.99,0.001,0.02,linear,0.5,32,0.5,1.0,53724.2,6277.27,45908.23,9548.1
102,0.0,0.99,0.001,0.12,double_middle_drop,0.5,32,0.25,1.0,54064.02,6252.16,42352.67,11560.33
103,0.0,0.99,0.001,0.02,linear,0.5,32,0.25,1.0,54164.87,6033.48,47736.0,7576.14
104,0.0,0.99,0.001,0.02,linear,0.5,32,0.5,1.0,54185.64,6509.31,46854.47,10482.56
105,0.0,0.99,0.001,0.3,double_middle_drop,0.5,32,0.5,1.0,54191.38,6595.11,43987.78,13540.71
106,0.001,0.99,0.001,0.3,linear,0.5,32,0.25,1.0,54232.95,6326.16,43810.81,10244.09
107,0.01,0.99,0.001,0.3,linear,0.5,32,0.75,1.0,54412.91,6417.19,44629.04,12067.8
108,0.1,0.99,0.001,0.12,constant,0.5,32,1.0,1.0,54618.04,5589.95,49686.98,2924.01
109,0.001,0.99,0.001,0.12,double_middle_drop,0.5,32,0.25,1.0,54668.21,7438.77,40883.51,10259.41
110,0.0,0.99,0.001,0.3,linear,0.5,32,1.0,1.0,54706.99,7136.57,43037.25,14785.62
111,0.1,0.99,0.001,0.12,linear,0.5,32,1.0,1.0,54754.76,5940.48,48728.02,2782.08
112,0.1,0.99,0.001,0.02,constant,0.5,32,0.75,1.0,54921.22,5428.42,48877.01,3059.32
113,0.1,0.99,0.001,0.02,constant,0.5,32,0.5,1.0,55113.78,5046.26,51046.01,3573.77
114,0.1,0.99,0.001,0.12,constant,0.5,32,0.5,1.0,55120.73,5204.73,51695.0,2825.77
115,0.01,0.99,0.001,0.12,double_middle_drop,0.5,32,0.25,1.0,55158.59,6298.93,43548.32,7353.95
116,0.1,0.99,0.001,0.05,linear,0.5,32,0.5,1.0,55241.37,5144.87,50062.87,4600.3
117,0.01,0.99,0.001,0.02,linear,0.5,32,0.25,1.0,55314.99,5173.8,48636.67,5544.27
118,0.1,0.99,0.001,0.02,constant,0.5,32,1.0,1.0,55324.13,5502.76,48524.34,4983.25
119,0.1,0.99,0.001,0.05,linear,0.5,32,0.75,1.0,55813.14,4959.68,50550.14,3089.8
120,0.01,0.99,0.001,0.12,constant,0.5,32,0.25,1.0,55829.39,5454.33,47480.23,10049.56
121,0.1,0.99,0.001,0.12,linear,0.5,32,0.5,1.0,55852.46,4807.16,51090.2,3715.89
122,0.001,0.99,0.001,0.3,double_middle_drop,0.5,32,0.5,1.0,55853.56,6331.06,44784.33,13517.4
123,0.1,0.99,0.001,0.05,linear,0.5,32,1.0,1.0,55856.26,4899.28,51006.76,4904.35
124,0.0,0.99,0.001,0.3,double_middle_drop,0.5,32,0.25,1.0,55862.64,5367.33,45410.15,14594.92
125,0.0,0.99,0.001,0.05,double_middle_drop,0.5,32,0.75,1.0,55913.83,4745.91,48092.39,4978.19
126,0.1,0.99,0.001,0.05,constant,0.5,32,0.75,1.0,55950.05,4959.89,51977.77,2551.52
127,0.001,0.99,0.001,0.05,double_middle_drop,0.5,32,0.75,1.0,56015.09,4210.43,49571.44,4827.3
128,0.1,0.99,0.001,0.12,linear,0.5,32,0.75,1.0,56096.86,4789.85,50710.13,3886.99
129,0.1,0.99,0.001,0.3,constant,0.5,32,0.75,1.0,56168.13,5016.13,51545.63,4356.26
130,0.1,0.99,0.001,0.02,linear,0.5,32,0.75,1.0,56177.93,4860.99,50530.59,3936.19
131,0.1,0.99,0.001,0.3,linear,0.5,32,0.5,1.0,56232.76,4576.17,51487.29,2388.84
132,0.1,0.99,0.001,0.02,linear,0.5,32,1.0,1.0,56334.03,4783.6,50832.26,4513.84
133,0.1,0.99,0.001,0.12,double_middle_drop,0.5,32,0.75,1.0,56339.63,3990.07,51978.33,2101.2
134,0.1,0.99,0.001,0.02,linear,0.5,32,0.5,1.0,56400.91,4440.93,52138.66,2644.79
135,0.1,0.99,0.001,0.12,constant,0.5,32,0.75,1.0,56517.44,4272.69,52460.77,3952.11
136,0.1,0.99,0.001,0.05,constant,0.5,32,0.25,1.0,56531.1,3947.99,53708.13,2223.25
137,0.1,0.99,0.001,0.3,constant,0.5,32,1.0,1.0,56574.17,4869.37,51068.99,4619.37
138,0.1,0.99,0.001,0.02,linear,0.5,32,0.25,1.0,56677.93,4821.71,51492.42,4274.09
139,0.01,0.99,0.001,0.05,double_middle_drop,0.5,32,1.0,1.0,56698.86,4139.85,49510.18,3342.85
140,0.01,0.99,0.001,0.3,linear,0.5,32,0.25,1.0,56728.37,5126.43,48693.5,11631.63
141,0.0,0.99,0.001,0.3,linear,0.5,32,0.5,1.0,56738.21,5298.03,47950.55,13371.78
142,0.01,0.99,0.001,0.3,double_middle_drop,0.5,32,0.25,1.0,56809.25,5952.67,46473.34,12846.55
143,0.1,0.99,0.001,0.3,double_middle_drop,0.5,32,1.0,1.0,56908.24,4912.9,51183.73,3808.34
144,0.1,0.99,0.001,0.3,linear,0.5,32,1.0,1.0,56913.06,4411.09,51231.12,3498.78
145,0.1,0.99,0.001,0.05,constant,0.5,32,0.5,1.0,56927.31,3887.66,53502.87,4111.54
146,0.0,0.99,0.001,0.02,double_middle_drop,0.5,32,0.5,1.0,56939.36,3457.17,52350.34,4722.49
147,0.1,0.99,0.001,0.05,constant,0.5,32,1.0,1.0,56952.94,4385.75,51692.35,4175.31
