,cliprange,cliprange_vf,ent_coef,gamma,lam,learning_rate,max_grad_norm,n_steps,nminibatches,noptepochs,vf_coef,mean_auc,std_auc,mean_fer,std_fer
98,0.2,0.2,0.001,0.99,0.95,0.00052,0.5,32,4,4,0.75,56610.64,5682.52,46061.59,15570.38
99,0.2,0.2,0.01,0.99,0.95,0.00072,0.5,32,4,4,0.75,56249.32,4887.58,47079.17,9435.03
100,0.2,0.2,0.01,0.99,0.95,0.00052,0.5,32,4,4,1.0,56135.69,5108.25,47737.73,7334.38
101,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,0.5,56050.27,5885.54,45904.54,18726.02
102,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,0.75,55799.62,6157.44,43975.75,16812.09
103,0.2,0.2,0.001,0.99,0.95,0.00052,0.5,32,4,4,0.5,55707.27,5519.75,46973.33,13149.02
104,0.2,0.2,0.01,0.99,0.95,0.00052,0.5,32,4,4,0.5,55285.4,5989.55,44456.47,10758.38
105,0.2,0.2,0.001,0.99,0.95,0.001,0.5,32,4,4,1.0,55019.65,6066.65,43369.79,18918.76
106,0.2,0.2,0.001,0.99,0.95,0.001,0.5,32,4,4,0.25,54866.32,6153.59,45785.33,19153.25
107,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,0.5,54735.18,7223.98,40805.86,20505.85
108,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,1.0,54405.47,7495.56,39901.55,20010.65
109,0.2,0.2,0.001,0.99,0.95,0.00052,0.5,32,4,4,0.25,53889.72,7646.31,39953.01,17252.31
110,0.2,0.2,0.001,0.99,0.95,0.001,0.5,32,4,4,0.75,53753.78,6970.1,47148.69,17890.06
111,0.2,0.2,0.001,0.99,0.95,0.001,0.5,32,4,4,0.5,53674.49,7233.41,42287.41,19431.18
112,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,0.25,53559.06,7010.02,41196.41,14670.39
113,0.2,0.2,0.01,0.99,0.95,0.00052,0.5,32,4,4,0.75,53511.49,6957.17,40900.37,17974.48
114,0.2,0.2,0.01,0.99,0.95,0.00072,0.5,32,4,4,0.5,53504.7,7190.05,40562.13,17665.29
115,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,0.5,52913.27,8261.07,45469.48,16986.99
116,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,0.5,52697.89,7343.53,39796.26,19322.25
117,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,1.0,52253.38,8128.5,38759.79,16540.09
118,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,1.0,52199.74,8841.94,35856.63,20097.66
119,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,0.25,52153.78,8011.41,38719.39,19554.45
120,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,0.25,52047.95,8391.84,38125.74,18569.74
121,0.2,0.2,0.0,0.99,0.95,0.00052,0.5,32,4,4,0.5,51467.54,9031.53,36592.6,20127.8
122,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,0.75,50905.11,9784.73,33615.64,21531.68
123,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,0.25,49811.39,10943.5,29779.76,22806.93
124,0.2,0.2,0.0,0.99,0.95,0.00072,0.5,32,4,4,0.25,49794.07,10455.76,30698.53,19751.75
125,0.2,0.2,0.01,0.99,0.95,0.001,0.5,32,4,4,0.75,49635.89,9082.39,36044.34,17360.69
126,0.2,0.2,0.01,0.99,0.95,0.00072,0.5,32,4,4,1.0,48765.37,11161.04,28687.78,13710.09
127,0.2,0.2,0.0,0.99,0.95,0.001,0.5,32,4,4,1.0,46776.23,12576.73,26468.68,15931.98
128,0.2,0.2,0.001,0.99,0.95,0.00072,0.5,32,4,4,1.0,46236.88,12158.07,26611.99,19343.34
