value_loss,fps,explained_variance,total_timesteps,nupdates,policy_entropy,ep_len_mean,ep_reward_mean
80970.1875,290,-1.7762184143066406e-05,287000,8200,9.083757400512695,1000.0,10672.019402049998
852.1549682617188,291,-3.504753112792969e-05,290500,8300,9.093816757202148,1000.0,10672.019402049998
83208.3515625,290,-3.5762786865234375e-05,294000,8400,9.05968189239502,1000.0,10737.01649488
672.400146484375,291,-5.066394805908203e-05,297500,8500,9.049644470214844,1000.0,10737.01649488
91542.0390625,291,-1.5974044799804688e-05,301000,8600,9.042932510375977,1000.0,10726.210800100002
951.4171752929688,291,4.029273986816406e-05,304500,8700,9.041634559631348,1000.0,10726.210800100002
92177.8828125,291,1.4603137969970703e-05,308000,8800,9.03353214263916,1000.0,10792.32155227
485.596923828125,292,3.170967102050781e-05,311500,8900,9.01187801361084,1000.0,10792.32155227
98013.0390625,291,2.8073787689208984e-05,315000,9000,8.980060577392578,1000.0,10849.22593147
320.8543701171875,292,2.086162567138672e-05,318500,9100,8.950255393981934,1000.0,10849.22593147
105642.5,291,1.519918441772461e-05,322000,9200,8.909114837646484,1000.0,10843.95001286
667.8582153320312,292,-2.384185791015625e-07,325500,9300,8.879460334777832,1000.0,10843.95001286
109622.96875,291,9.179115295410156e-06,329000,9400,8.87982177734375,1000.0,10945.87362742
1117.8740234375,292,2.0444393157958984e-05,332500,9500,8.906514167785645,1000.0,10945.87362742
112405.90625,292,6.794929504394531e-06,336000,9600,8.908614158630371,1000.0,10945.764075829999
1252.456787109375,292,-3.254413604736328e-05,339500,9700,8.881759643554688,1000.0,10945.764075829999
115004.5546875,292,-3.0994415283203125e-06,343000,9800,8.845005989074707,1000.0,11038.137377349998
988.7174072265625,293,1.3947486877441406e-05,346500,9900,8.829187393188477,1000.0,11038.137377349998
121783.2265625,292,-8.344650268554688e-07,350000,10000,8.817584037780762,1000.0,11092.439935990002
1124.248779296875,293,5.960464477539063e-08,353500,10100,8.81484317779541,1000.0,11092.439935990002
