fps,approxkl,serial_timesteps,total_timesteps,policy_entropy,explained_variance,value_loss,time_elapsed,policy_loss,n_updates,clipfrac,ep_reward_mean,ep_len_mean
273,0.033194624,42624,170496,7.3800597,-0.078621506690979,0.00044111296,953.8949737548828,0.0006912933,1332,0.30664062,58398.85835593999,500.0
288,0.028361427,42656,170624,7.3846993,-0.03501725196838379,0.00045203633,954.3674547672272,0.02135632,1333,0.35546875,58398.85835593999,500.0
283,0.042273402,42688,170752,7.389412,-0.024582505226135254,0.0003213563,954.812171459198,0.010067798,1334,0.4375,58398.85835593999,500.0
279,0.017746367,42720,170880,7.391608,-0.03725636005401611,0.00027390223,955.2651226520538,0.0004409426,1335,0.23632812,58398.85835593999,500.0
275,0.03602256,42752,171008,7.3900223,-0.07982635498046875,0.000287525,955.7242915630341,0.0044359993,1336,0.34375,58398.85835593999,500.0
264,0.034648295,42784,171136,7.3921347,-0.052719712257385254,0.00018424947,956.1896317005157,0.022433203,1337,0.33007812,58398.85835593999,500.0
267,0.012691733,42816,171264,7.3925138,-0.1580895185470581,0.00016598003,956.6737430095673,-0.0027210203,1338,0.16601562,58398.85835593999,500.0
265,0.013751874,42848,171392,7.3939195,-0.002699613571166992,0.0002030361,957.1524519920349,0.00947251,1339,0.16796875,58398.85835593999,500.0
263,0.038526483,42880,171520,7.388851,-0.15702664852142334,0.00010450528,957.6355731487274,-0.0053808964,1340,0.375,58398.85835593999,500.0
254,0.031103227,42912,171648,7.3870573,-0.15754544734954834,0.00011162614,958.1213188171387,0.024355775,1341,0.30859375,58398.85835593999,500.0
266,0.022046905,42944,171776,7.3892083,-0.1483403444290161,0.00010710749,958.6243875026703,-0.0051994575,1342,0.26953125,58398.85835593999,500.0
263,0.030811591,42976,171904,7.39587,-0.2354261875152588,9.2541995e-05,959.105254650116,-0.0036639364,1343,0.33398438,58398.85835593999,500.0
32,0.026211103,43008,172032,7.402108,-0.024869084358215332,0.85842156,959.5909190177917,-0.016088013,1344,0.29296875,58490.404133799995,500.0
260,0.039332498,43040,172160,7.410936,-0.04330337047576904,0.0047132317,963.5334179401398,-0.010602064,1345,0.34960938,58490.404133799995,500.0
269,0.013384454,43072,172288,7.408449,0.01770627498626709,0.0014130012,964.0278091430664,-0.019512197,1346,0.18945312,58490.404133799995,500.0
