fps,explained_variance,value_loss,nupdates,policy_loss,total_timesteps,policy_entropy,ep_reward_mean,ep_len_mean
220,0.10401642322540283,5.051183223724365,10300,0.06988302618265152,834219,9.73738956451416,96902.62297431,1000.0
220,0.06885844469070435,4.760633945465088,10400,0.33611708879470825,842319,9.752060890197754,98296.00524672,1000.0
220,0.0004857182502746582,4.507805347442627,10500,0.09689439833164215,850419,9.740163803100586,99068.10561327997,1000.0
220,0.010252892971038818,4.621490478515625,10600,-0.45642703771591187,858519,9.76767635345459,99371.67697165,1000.0
220,-0.2809816598892212,4.600254058837891,10700,0.045313991606235504,866619,9.793960571289062,99372.60240609001,1000.0
220,0.08656615018844604,4.6273908615112305,10800,0.0060516223311424255,874719,9.79345703125,99682.38703127,1000.0
220,-0.2040034532546997,4.783411979675293,10900,-0.36255979537963867,882819,9.765289306640625,100074.30315996,1000.0
220,-0.04440116882324219,4.320164680480957,11000,0.036965250968933105,890919,9.771588325500488,100319.85789319001,1000.0
220,0.04935574531555176,4.559052467346191,11100,-0.2502296268939972,899019,9.7558012008667,100627.42185012,1000.0
220,-0.18143784999847412,4.90848445892334,11200,0.20945188403129578,907119,9.75378704071045,100869.65132570999,1000.0
220,0.07087701559066772,4.7881340980529785,11300,-0.2861992418766022,915219,9.761458396911621,101761.98376956997,1000.0
220,-0.05125391483306885,5.007163047790527,11400,-0.24971309304237366,923319,9.760916709899902,102256.14769058001,1000.0
220,0.25207263231277466,4.5892438888549805,11500,-0.6124519109725952,931419,9.785955429077148,102543.6520129,1000.0
220,0.07584285736083984,4.4997735023498535,11600,-0.19015151262283325,939519,9.771934509277344,103111.36384256998,1000.0
220,-0.11461734771728516,4.712898254394531,11700,-0.30001819133758545,947619,9.763001441955566,102765.48603603,1000.0
220,0.0888628363609314,4.543941497802734,11800,-0.14394831657409668,955719,9.758645057678223,103054.37842030998,1000.0
220,-0.039942145347595215,4.412424564361572,11900,-0.31282365322113037,963819,9.769682884216309,103378.77127887002,1000.0
220,0.12753236293792725,4.40789794921875,12000,-0.05646807700395584,971919,9.780523300170898,104112.68570855001,1000.0
220,0.05384647846221924,4.365583419799805,12100,-0.04295266419649124,980019,9.783056259155273,105020.29120644002,1000.0
220,0.024169206619262695,4.367763519287109,12200,-0.010006196796894073,988119,9.789024353027344,104893.87472228002,1000.0
220,0.03102010488510132,4.086841106414795,12300,-0.19940774142742157,996219,9.786827087402344,104968.40733471,1000.0
220,-0.01713275909423828,4.102441310882568,12400,0.14342302083969116,1004319,9.785911560058594,104967.69010402,1000.0
220,0.0230599045753479,4.505514621734619,12500,0.14098557829856873,1012419,9.786437034606934,104228.40983656001,1000.0
