explained_variance,total_timesteps,value_loss,nupdates,fps,policy_entropy,policy_loss,ep_reward_mean,ep_len_mean
-0.005814075469970703,372519,5.2246832847595215,4600,236,9.55556583404541,-0.2957949936389923,94229.82981339,1000.0
0.004504859447479248,380619,5.268121242523193,4700,237,9.598483085632324,-0.20042991638183594,94442.85185231,1000.0
-0.006248116493225098,388719,5.270643711090088,4800,237,9.591689109802246,-0.20550930500030518,94494.04176116001,1000.0
-0.00825810432434082,396819,5.441349506378174,4900,237,9.555419921875,0.20211976766586304,94677.35756830999,1000.0
-0.046190619468688965,404919,5.369829177856445,5000,238,9.591973304748535,0.27637603878974915,94859.08140205998,1000.0
-0.007194161415100098,413019,5.353755474090576,5100,238,9.593301773071289,0.20023995637893677,94862.97154446,1000.0
0.00669407844543457,421119,5.357259273529053,5200,238,9.613966941833496,0.18571418523788452,94917.7046945,1000.0
-0.021082282066345215,429219,5.315091133117676,5300,239,9.607637405395508,-0.0335918664932251,95288.83218579002,1000.0
-0.0035887956619262695,437319,5.415557861328125,5400,239,9.618523597717285,-0.30852407217025757,95450.62264982001,1000.0
-0.011100411415100098,445419,5.526337623596191,5500,239,9.651944160461426,-0.19141365587711334,95523.19943786999,1000.0
-0.02173936367034912,453519,5.47506046295166,5600,240,9.694128036499023,0.12487111985683441,95528.32384261001,1000.0
-0.003608226776123047,461619,5.247160911560059,5700,240,9.687295913696289,0.30445101857185364,95224.42508388002,1000.0
0.027081072330474854,469719,5.483890533447266,5800,240,9.667691230773926,-0.048329196870326996,95165.36791429,1000.0
0.003192007541656494,477819,5.458942413330078,5900,241,9.649948120117188,0.2878005802631378,95133.50911947999,1000.0
-0.0004175901412963867,485919,5.386111259460449,6000,241,9.667044639587402,-0.09558053314685822,94877.11333681998,1000.0
-0.014335393905639648,494019,5.363039970397949,6100,241,9.702163696289062,-0.04088182747364044,95048.45719387001,1000.0
0.046315908432006836,502119,5.431375980377197,6200,242,9.679976463317871,0.27925848960876465,95099.46410564998,1000.0
-0.0017701387405395508,510219,5.513632774353027,6300,242,9.685385704040527,0.025670170783996582,95255.06210395,1000.0
-0.01768195629119873,518319,5.533892631530762,6400,242,9.657319068908691,0.07621948421001434,95323.30999348998,1000.0
-0.0002751350402832031,526419,5.646620750427246,6500,242,9.689436912536621,0.1892087310552597,95487.19739213,1000.0
-0.015839695930480957,534519,5.555970191955566,6600,243,9.672003746032715,-0.2757185101509094,95530.67305352,1000.0
0.02273738384246826,542619,5.707775115966797,6700,243,9.711134910583496,-0.2581940293312073,95529.71486770999,1000.0
0.0005748867988586426,550719,5.722225189208984,6800,243,9.726106643676758,-0.37814491987228394,95584.29447494999,1000.0
0.004445850849151611,558819,5.800043106079102,6900,244,9.787484169006348,0.058076970279216766,95752.94699730999,1000.0
-0.0071103572845458984,566919,5.759122848510742,7000,244,9.737536430358887,-0.02039124071598053,96137.81733582001,1000.0
