policy_loss,total timesteps,entropy,qf2_loss,current_lr,qf1_loss,n_updates,mean 100 episode reward,ent_coef,value_loss,episodes,fps,eplenmean,ep_rewmean,time_elapsed,ent_coef_loss
-1.9681408,403000,-2.6524806,7.833322e-05,0.0003,4.3033517e-05,402900,21.7,0.0006038998,2.9340332e-05,404,94,1000.0,106159.50262987001,4259,1.4040539
-1.9372926,407000,-2.5902367,2.8701033e-05,0.0003,2.2330116e-05,406900,21.7,0.0004565941,5.2930194e-05,408,94,1000.0,105983.36533038,4301,-0.6861067
-1.9040743,411000,-2.3853276,9.396886e-05,0.0003,8.665159e-05,410900,21.7,0.00052501087,2.0186633e-05,412,94,1000.0,106417.12736134003,4343,-0.17195827
-1.8702509,415000,-1.4997351,4.9882143e-05,0.0003,5.037248e-05,414900,21.7,0.00045930842,0.00012619374,416,94,1000.0,106298.9239753,4386,0.546257
-1.8489033,419000,-1.5341305,3.0658564e-05,0.0003,2.1909671e-05,418900,21.5,0.00042280983,2.7560363e-05,420,94,1000.0,105710.47353166001,4428,-2.640647
-1.8393953,423000,-1.2650236,9.563639e-05,0.0003,7.5726566e-05,422900,21.5,0.00046421785,8.9441455e-05,424,94,1000.0,105744.84560450997,4470,-1.4323962
-1.8361818,427000,0.57271475,3.00159e-05,0.0003,2.3860293e-05,426900,21.3,0.000546015,9.282034e-05,428,94,1000.0,104883.65386163,4512,17.800846
-1.8352972,431000,-0.76275474,1.3747332e-05,0.0003,1.5229534e-05,430900,21.1,0.00039552592,0.000118203374,432,94,1000.0,103706.92595183002,4554,-10.18503
-1.8500437,435000,-1.5821495,3.293038e-05,0.0003,3.786295e-05,434900,21.0,0.0003115381,4.001224e-05,436,94,1000.0,103591.13173982002,4597,1.8041265
-1.8541882,439000,-2.5970216,2.9567509e-05,0.0003,4.3375432e-05,438900,21.9,0.00029502698,3.1290947e-05,440,94,1000.0,107781.80596427998,4639,2.8033981
-1.8963313,443000,-2.1868098,4.422767e-05,0.0003,3.6788937e-05,442900,22.3,0.0002692009,1.3942679e-05,444,94,1000.0,109686.35588254001,4681,1.7761779
-1.8501236,447000,-4.5225124,5.940532e-05,0.0003,0.0002069488,446900,22.2,0.000295577,4.0443185e-05,448,94,1000.0,109350.52155383003,4724,15.202864
