surrgain,entloss,TimeElapsed,TimestepsSoFar,entropy,explained_variance_tdlam_before,meankl,EpThisIter,EpisodesSoFar,EpLenMean,EpRewMean,optimgain
0.053990416,0.0,849.9410271644592,193536,9.375365,0.023711860179901123,0.0119378,1,193,1000.0,6739.797345350002,0.053990416
0.063186325,0.0,854.6132917404175,194560,9.339589,0.062226831912994385,0.010291783,1,194,1000.0,6956.9359337000005,0.063186325
0.06991302,0.0,859.1228737831116,195584,9.296008,0.07481306791305542,0.0117028225,1,195,1000.0,7158.159076525,0.06991302
0.06780329,0.0,863.7984004020691,196608,9.264906,0.07998436689376831,0.011824666,1,196,1000.0,7340.040238325001,0.06780329
0.055414896,0.0,868.6507828235626,197632,9.220782,0.031340062618255615,0.012512307,1,197,1000.0,7588.975710650001,0.055414896
0.0551802,0.0,873.4021592140198,198656,9.210641,0.04000413417816162,0.010319271,1,198,1000.0,7830.9098063500005,0.0551802
0.042777166,0.0,878.1679980754852,199680,9.158434,0.05538207292556763,0.010315841,1,199,1000.0,8058.4413434,0.042777166
0.054215297,0.0,882.8681302070618,200704,9.159963,0.016181468963623047,0.010732326,1,200,1000.0,8264.000840475,0.054215297
0.03779686,0.0,887.8503737449646,201728,9.155165,0.061907291412353516,0.003852666,1,201,1000.0,8547.298120975,0.03779686
0.04260215,0.0,892.6724901199341,202752,9.153277,-0.0006732940673828125,0.010871173,1,202,1000.0,8759.038358900001,0.04260215
0.04839969,0.0,897.3038613796234,203776,9.132802,-0.00639653205871582,0.011659152,1,203,1000.0,9093.21741145,0.04839969
0.048965137,0.0,902.1446175575256,204800,9.089162,0.026395976543426514,0.009995585,1,204,1000.0,9350.835487725,0.048965137
0.04653953,0.0,906.722608089447,205824,9.102526,0.023302316665649414,0.014186712,1,205,1000.0,9622.331796725,0.04653953
0.040417194,0.0,911.2275514602661,206848,9.113852,0.00013464689254760742,0.010754235,1,206,1000.0,9897.043072675,0.040417194
0.04769495,0.0,916.5307366847992,207872,9.156901,-0.018113136291503906,0.013417188,1,207,1000.0,10196.2950045,0.04769495
0.042553023,0.0,921.4790713787079,208896,9.083495,-0.005114555358886719,0.010619527,1,208,1000.0,10458.2396457,0.042553023
0.04221292,0.0,926.3246030807495,209920,9.082506,-0.0038508176803588867,0.010218911,1,209,1000.0,10687.699506125,0.04221292
0.041251715,0.0,931.5191648006439,210944,9.096326,0.024700403213500977,0.010306892,1,210,1000.0,11030.193383599999,0.041251715
0.036906824,0.0,936.4510943889618,211968,9.086561,0.010984599590301514,0.0101046255,1,211,1000.0,11306.424541925,0.036906824
0.036678582,0.0,941.4774849414825,212992,9.172079,-0.007862567901611328,0.010422878,1,212,1000.0,11524.657601725,0.036678582
0.042651217,0.0,947.9956390857697,214016,9.129762,0.0024735331535339355,0.0136507,2,214,1000.0,12070.48482385,0.042651217
0.038543183,0.0,952.8200714588165,215040,9.100219,0.0025452375411987305,0.011428968,1,215,1000.0,12294.345696575,0.038543183
0.04187867,0.0,957.5589911937714,216064,9.067922,0.010266304016113281,0.012625753,1,216,1000.0,12555.58788255,0.04187867
0.037902527,0.0,962.1398286819458,217088,9.059153,0.005437791347503662,0.010609016,1,217,1000.0,12829.576593775,0.037902527
0.05333261,0.0,967.1529014110565,218112,9.075795,0.05282837152481079,0.0117283035,1,218,1000.0,13118.34393665,0.05333261
0.040284377,0.0,971.9025321006775,219136,9.0765915,0.052698612213134766,0.0044443402,1,219,1000.0,13337.304078124998,0.040284377
0.045159988,0.0,976.6233487129211,220160,9.048709,-0.012688636779785156,0.011281667,1,220,1000.0,13567.576022124998,0.045159988
0.03883633,0.0,981.463604927063,221184,8.947588,0.0031754374504089355,0.011699125,1,221,1000.0,13853.029355174998,0.03883633
0.027681231,0.0,986.2253048419952,222208,8.963488,-0.004142165184020996,0.010870377,1,222,1000.0,14183.147885049999,0.027681231
0.05180412,0.0,991.1530120372772,223232,8.884441,0.06443744897842407,0.010641417,1,223,1000.0,14401.239335625,0.05180412
0.039052464,0.0,995.7952611446381,224256,8.983955,0.022284388542175293,0.010836568,1,224,1000.0,14622.341193099997,0.039052464
0.03887049,0.0,1000.573520898819,225280,8.961355,0.003616929054260254,0.010365808,1,225,1000.0,14932.657428974999,0.03887049
0.047232024,0.0,1005.295019865036,226304,8.952518,0.018267273902893066,0.01458092,1,226,1000.0,15192.205379874998,0.047232024
0.04009653,0.0,1010.1655097007751,227328,8.949419,-0.009807467460632324,0.01131035,1,227,1000.0,15461.437432149998,0.04009653
0.037733994,0.0,1014.6968967914581,228352,8.895194,-0.011821866035461426,0.010951595,1,228,1000.0,15754.842086125,0.037733994
0.041612096,0.0,1019.7191152572632,229376,8.9501915,-0.0036603212356567383,0.012418676,1,229,1000.0,16053.730148149998,0.041612096
0.045537688,0.0,1024.7655098438263,230400,8.936716,0.03239554166793823,0.0104238335,1,230,1000.0,16292.359694125,0.045537688
0.046110608,0.0,1029.5220022201538,231424,8.852169,0.03882265090942383,0.010858741,1,231,1000.0,16514.898096675,0.046110608
0.0478141,0.0,1034.426138162613,232448,8.834109,-0.003972411155700684,0.011757803,1,232,1000.0,16675.705786325,0.0478141
0.035710655,0.0,1039.133127450943,233472,8.771115,0.005693376064300537,0.010373049,1,233,1000.0,16976.93072795,0.035710655
0.034461576,0.0,1043.7702894210815,234496,8.709486,0.010972380638122559,0.0120075,1,234,1000.0,17206.088347875,0.034461576
0.041535065,0.0,1048.4812743663788,235520,8.707233,0.02017807960510254,0.014619913,1,235,1000.0,17451.46881635,0.041535065
0.042553008,0.0,1053.546875,236544,8.614911,-0.0067168474197387695,0.012030971,1,236,1000.0,17691.149806725,0.042553008
0.036241066,0.0,1058.5542528629303,237568,8.601671,0.01015329360961914,0.011402549,1,237,1000.0,17948.416864525,0.036241066
0.034414448,0.0,1063.3192262649536,238592,8.536025,-0.017203807830810547,0.01202585,1,238,1000.0,18168.248983999998,0.034414448
0.031556737,0.0,1067.9134690761566,239616,8.619942,0.0005944967269897461,0.010704847,1,239,1000.0,18393.05063135,0.031556737
0.03684599,0.0,1072.741364955902,240640,8.581464,-0.009541630744934082,0.01117796,1,240,1000.0,18694.504326975002,0.03684599
0.036488168,0.0,1077.7768332958221,241664,8.62397,-0.030304789543151855,0.01034379,1,241,1000.0,18900.286677975,0.036488168
0.03631074,0.0,1082.6687273979187,242688,8.545899,0.00015109777450561523,0.011471948,1,242,1000.0,19256.04890505,0.03631074
0.025145879,0.0,1087.4725596904755,243712,8.490657,0.016548991203308105,0.010572508,1,243,1000.0,19442.492100274998,0.025145879
0.03525757,0.0,1092.1998205184937,244736,8.412235,-0.0006799697875976562,0.01074649,1,244,1000.0,19657.6553209,0.03525757
0.019761259,0.0,1097.0699841976166,245760,8.3855095,0.016834557056427002,0.0059912456,1,245,1000.0,19892.1574456,0.019761259
0.035134356,0.0,1101.7943260669708,246784,8.271236,0.0033994317054748535,0.011303928,1,246,1000.0,20209.456516950002,0.035134356
0.03773441,0.0,1106.6372375488281,247808,8.286868,0.014812290668487549,0.010725722,1,247,1000.0,20446.65227605,0.03773441
0.024430286,0.0,1111.6837980747223,248832,8.313298,0.004688858985900879,0.010125307,1,248,1000.0,20726.053305874997,0.024430286
0.02771568,0.0,1116.3922452926636,249856,8.268543,0.0030126571655273438,0.004395799,1,249,1000.0,21035.02148975,0.02771568
0.042988263,0.0,1121.0324580669403,250880,8.192018,0.0040735602378845215,0.014621407,1,250,1000.0,21235.647104975,0.042988263
0.03224355,0.0,1125.9436082839966,251904,8.1043215,-0.0048056840896606445,0.010694426,1,251,1000.0,21504.48074815,0.03224355
0.032333672,0.0,1130.6470437049866,252928,8.045945,-0.003060579299926758,0.011855634,1,252,1000.0,21771.969855975,0.032333672
0.028387057,0.0,1135.3990926742554,253952,8.083981,0.005083203315734863,0.010316265,1,253,1000.0,22018.865358925,0.028387057
0.037467834,0.0,1140.3605737686157,254976,8.039616,0.0012871026992797852,0.011732412,1,254,1000.0,22293.57037475,0.037467834
0.022235468,0.0,1146.3327565193176,256000,8.02692,-0.0022367238998413086,0.004472065,2,256,1000.0,22971.3887059,0.022235468
0.029832449,0.0,1151.8382222652435,257024,7.9332266,0.01594632863998413,0.0112459455,1,257,1000.0,23282.371762000002,0.029832449
0.029340355,0.0,1156.7121300697327,258048,7.9348607,0.013517200946807861,0.010480946,1,258,1000.0,23569.579247875,0.029340355
0.02349465,0.0,1161.5771572589874,259072,7.8828087,0.003245115280151367,0.010439399,1,259,1000.0,23897.49632975,0.02349465
0.018922575,0.0,1166.8349540233612,260096,7.8849344,6.276369094848633e-05,0.003790807,1,260,1000.0,24267.068625,0.018922575
0.027997442,0.0,1171.9878520965576,261120,7.874436,0.0009196996688842773,0.010086423,1,261,1000.0,24631.931589625,0.027997442
0.0288223,0.0,1176.9787607192993,262144,7.8994017,-0.0055811405181884766,0.01004736,1,262,1000.0,24913.43833795,0.0288223
0.026791908,0.0,1181.6325643062592,263168,7.8145022,0.006722748279571533,0.01253556,1,263,1000.0,25306.21345555,0.026791908
0.026716474,0.0,1186.4548032283783,264192,7.9032717,0.01198965311050415,0.010144532,1,264,1000.0,25767.0438081,0.026716474
0.030376611,0.0,1191.0536255836487,265216,7.910946,0.013624370098114014,0.011653457,1,265,1000.0,26117.1423193,0.030376611
0.038972437,0.0,1195.606496334076,266240,7.9552736,-8.64267349243164e-05,0.00967375,1,266,1000.0,26373.629846375,0.038972437
0.03342661,0.0,1200.5228192806244,267264,7.9290924,0.014157116413116455,0.011720904,1,267,1000.0,26676.983667374996,0.03342661
0.0279308,0.0,1205.380936384201,268288,7.8695188,-0.0028693675994873047,0.010614594,1,268,1000.0,26965.825589725002,0.0279308
0.03524579,0.0,1210.2598941326141,269312,7.843566,0.012282073497772217,0.010083284,1,269,1000.0,27371.69022665,0.03524579
0.04002995,0.0,1214.8841524124146,270336,7.716904,0.010430335998535156,0.011087841,1,270,1000.0,27731.398154575,0.04002995
0.04518131,0.0,1219.777584552765,271360,7.714904,0.012743711471557617,0.012963724,1,271,1000.0,28216.266633075,0.04518131
0.030720158,0.0,1224.6072163581848,272384,7.700333,0.0027823448181152344,0.011664932,1,272,1000.0,28598.898554100004,0.030720158
0.020880157,0.0,1229.5446529388428,273408,7.6771235,-0.0037031173706054688,0.0037698396,1,273,1000.0,28979.166474475,0.020880157
0.0309651,0.0,1234.1400899887085,274432,7.6385956,0.009428083896636963,0.010458898,1,274,1000.0,29358.646773049997,0.0309651
0.03546956,0.0,1239.1079530715942,275456,7.6132655,0.004776597023010254,0.011438667,1,275,1000.0,29779.98387175,0.03546956
0.019727767,0.0,1244.092702627182,276480,7.6090245,0.00783836841583252,0.0041413954,1,276,1000.0,30209.937210825,0.019727767
0.03025863,0.0,1249.0598375797272,277504,7.597852,0.008549273014068604,0.011603877,1,277,1000.0,30620.404044124996,0.03025863
0.029743385,0.0,1253.955816745758,278528,7.4702015,0.027745544910430908,0.014196356,1,278,1000.0,31007.552741649997,0.029743385
0.021974701,0.0,1258.5984933376312,279552,7.4379396,0.01766681671142578,0.0037601115,1,279,1000.0,31388.483333375003,0.021974701
0.029536247,0.0,1263.3339507579803,280576,7.4758296,0.004363417625427246,0.010911245,1,280,1000.0,31746.711637824996,0.029536247
0.030917183,0.0,1268.0205283164978,281600,7.490235,-0.005115985870361328,0.012030748,1,281,1000.0,32140.119199974997,0.030917183
0.02388183,0.0,1272.6068642139435,282624,7.496567,0.007857561111450195,0.011282951,1,282,1000.0,32444.825449750002,0.02388183
0.030445639,0.0,1277.3685984611511,283648,7.466357,0.015823662281036377,0.014246759,1,283,1000.0,32850.19812480001,0.030445639
0.029844936,0.0,1282.2107429504395,284672,7.5244737,0.00549393892288208,0.011671204,1,284,1000.0,33311.507996625,0.029844936
0.035144627,0.0,1286.995670557022,285696,7.456242,-0.0018112659454345703,0.011211987,1,285,1000.0,33678.653383125005,0.035144627
0.028921131,0.0,1291.8864934444427,286720,7.385074,0.0037156343460083008,0.012079666,1,286,1000.0,34089.789441325,0.028921131
0.029621635,0.0,1296.8219199180603,287744,7.4262543,0.01579052209854126,0.011940476,1,287,1000.0,34519.461603925,0.029621635
0.028232686,0.0,1301.5260224342346,288768,7.3424716,0.020886361598968506,0.01175447,1,288,1000.0,34869.366852875006,0.028232686
0.032915693,0.0,1306.3308882713318,289792,7.253173,0.01617974042892456,0.010912614,1,289,1000.0,35257.473037875,0.032915693
0.032471478,0.0,1310.9912133216858,290816,7.1946454,0.02368241548538208,0.011056167,1,290,1000.0,35735.32396335,0.032471478
0.031701155,0.0,1315.6342990398407,291840,7.2284513,0.021187663078308105,0.011776336,1,291,1000.0,36211.92662880001,0.031701155
0.030487863,0.0,1320.4869186878204,292864,7.1508756,-0.0037893056869506836,0.01191951,1,292,1000.0,36743.058371225,0.030487863
0.031190682,0.0,1325.2026290893555,293888,7.1439815,0.009183228015899658,0.011037681,1,293,1000.0,37229.301185675,0.031190682
0.028787903,0.0,1329.7791028022766,294912,7.0051265,0.004894852638244629,0.014967086,1,294,1000.0,37749.673707875,0.028787903
0.026768776,0.0,1334.6028978824615,295936,6.9866977,0.018918097019195557,0.011783406,1,295,1000.0,38223.09365675,0.026768776
0.040259123,0.0,1339.7535622119904,296960,6.947209,-0.004835367202758789,0.009340295,1,296,1000.0,38722.6079351,0.040259123
0.025784481,0.0,1344.6214952468872,297984,6.952345,0.006880581378936768,0.010824934,1,297,1000.0,39151.263980825,0.025784481
0.018920584,0.0,1350.5353519916534,299008,6.932173,0.01701408624649048,0.0041908124,2,299,1000.0,40264.110198775,0.018920584
0.023606928,0.0,1355.2534749507904,300032,6.955336,0.004187583923339844,0.010708288,1,300,1000.0,40672.278018,0.023606928
0.021698732,0.0,1360.0049095153809,301056,6.8994584,0.005119681358337402,0.011382501,1,301,1000.0,41228.556946225,0.021698732
0.0254197,0.0,1365.0256524085999,302080,6.826295,0.004545688629150391,0.01126289,1,302,1000.0,41816.581369274994,0.0254197
0.03484962,0.0,1370.113701581955,303104,6.7371078,0.024429380893707275,0.011035735,1,303,1000.0,42355.766290075,0.03484962
