total_timesteps,nupdates,policy_entropy,explained_variance,fps,value_loss,ep_len_mean,ep_reward_mean
311500,8900,24.57184600830078,-0.16200017929077148,183,0.001319618197157979,300.0,2438.26512609
315000,9000,24.76244354248047,-0.6529300212860107,183,5.158196926116943,300.0,2400.26706711
318500,9100,24.9658203125,0.10709559917449951,184,0.0027170474641025066,300.0,2381.8380351299998
322000,9200,25.205486297607422,0.362629771232605,183,0.0014997231774032116,300.0,2337.34300414
325500,9300,25.427392959594727,-0.05414927005767822,183,4.963603973388672,300.0,2281.8906714999994
329000,9400,25.620376586914062,0.3218485713005066,184,0.002016667276620865,300.0,2267.59401783
332500,9500,25.81742286682129,-1.409796953201294,183,0.0026173165533691645,300.0,2228.87737959
336000,9600,26.00245475769043,-0.04838740825653076,183,4.494570732116699,300.0,2191.86134352
339500,9700,26.232881546020508,0.24995505809783936,183,0.003202601335942745,300.0,2179.72787254
343000,9800,26.43718719482422,0.07204926013946533,183,0.0024378900416195393,300.0,2128.45509748
346500,9900,26.623159408569336,-0.5868310928344727,183,4.451520919799805,300.0,2088.14372331
350000,10000,26.85160255432129,-0.30777430534362793,183,0.0016136396443471313,300.0,2065.3818090199998
353500,10100,27.066627502441406,-0.5522621870040894,183,0.001713586039841175,300.0,2017.3984607499995
357000,10200,27.289348602294922,0.18082177639007568,183,3.82525897026062,300.0,1966.9692839500003
360500,10300,27.500181198120117,0.02663600444793701,183,0.0035320983733981848,300.0,1938.6659106399998
364000,10400,27.71649932861328,0.14388763904571533,183,0.0026814427692443132,300.0,1880.88680758
367500,10500,27.911396026611328,0.08386921882629395,183,2.909299612045288,300.0,1824.2022648400002
371000,10600,28.11958885192871,0.4093310832977295,183,0.002876836573705077,300.0,1805.6837947900003
374500,10700,28.30278205871582,-1.941469430923462,183,0.0025817235000431538,300.0,1762.60528006
378000,10800,28.507369995117188,-3.215064525604248,183,3.0524702072143555,300.0,1723.99810888
381500,10900,28.698196411132812,-0.31025493144989014,183,0.0039500040002167225,300.0,1704.32401312
385000,11000,28.921092987060547,-0.26813066005706787,183,0.003713971469551325,300.0,1658.04706417
388500,11100,29.13912582397461,-0.7267676591873169,183,2.8505184650421143,300.0,1623.7172297099999
392000,11200,29.36678695678711,0.31309497356414795,183,0.0014610800426453352,300.0,1611.4119604500002
395500,11300,29.59063148498535,-0.48327815532684326,183,0.0017718580784276128,300.0,1585.1260213999997
399000,11400,29.809186935424805,-0.24963653087615967,183,1.918361783027649,300.0,1530.680405
