fps,policy_entropy,total_timesteps,explained_variance,nupdates,policy_loss,value_loss,ep_reward_mean,ep_len_mean
264,10.096792221069336,1156059,0.001001119613647461,8200,-0.026629842817783356,202006.75,13679.01690038,1000.0
264,10.099580764770508,1170159,0.0007817745208740234,8300,-0.15935100615024567,96477.5234375,13623.232640810003,1000.0
264,10.101319313049316,1184259,0.023353278636932373,8400,-0.024253718554973602,25926.099609375,13645.106210629998,1000.0
264,10.101527214050293,1198359,0.000538170337677002,8500,-0.06651964783668518,25576.234375,13794.783456140001,1000.0
264,10.105259895324707,1212459,0.00023651123046875,8600,-0.08536047488451004,119142.0859375,14094.189705449999,1000.0
264,10.108072280883789,1226559,0.0006621479988098145,8700,-0.33173415064811707,64041.86328125,14373.287886389997,1000.0
264,10.110428810119629,1240659,0.0001805424690246582,8800,0.07155720889568329,121692.8125,14602.719435460001,1000.0
264,10.112971305847168,1254759,0.0003604888916015625,8900,-0.14529699087142944,36654.546875,14738.716903980001,1000.0
264,10.115142822265625,1268859,0.0003565549850463867,9000,-0.05911237373948097,129153.7734375,14937.424092899999,1000.0
264,10.119230270385742,1282959,0.029839158058166504,9100,-0.05023789405822754,59919.0078125,14925.080251760002,1000.0
264,10.123666763305664,1297059,0.06687623262405396,9200,-0.1429811716079712,33692.51171875,15125.440903400002,1000.0
264,10.125523567199707,1311159,0.0006479620933532715,9300,0.06355614215135574,41666.41796875,15093.857299329997,1000.0
264,10.128725051879883,1325259,7.510185241699219e-06,9400,-0.11526244133710861,100896.3125,15088.457536819998,1000.0
264,10.130583763122559,1339359,0.0003407597541809082,9500,-0.2390459179878235,104435.46875,14807.29167559,1000.0
264,10.133244514465332,1353459,-3.695487976074219e-05,9600,0.23233698308467865,50214.68359375,14818.117535999998,1000.0
264,10.135802268981934,1367559,0.00043141841888427734,9700,-0.13500337302684784,42937.37890625,14819.40412178,1000.0
263,10.137681007385254,1381659,0.026056885719299316,9800,0.11419769376516342,45335.2109375,15254.637707989996,1000.0
263,10.139084815979004,1395759,0.0002900362014770508,9900,0.2655148506164551,139669.578125,15335.228978010002,1000.0
263,10.141270637512207,1409859,0.007558584213256836,10000,-0.006757408380508423,52704.75390625,15717.31869985,1000.0
263,10.143279075622559,1423959,0.00042504072189331055,10100,0.04902386665344238,37344.61328125,15813.6852682,1000.0
263,10.145109176635742,1438059,0.00021600723266601562,10200,0.061553068459033966,53496.84375,15987.278382659997,1000.0
263,10.147547721862793,1452159,0.00029855966567993164,10300,-0.3689994812011719,44373.046875,16394.40679207,1000.0
263,10.148305892944336,1466259,3.653764724731445e-05,10400,0.16358494758605957,126001.2109375,16785.87103941,1000.0
263,10.149174690246582,1480359,-3.9696693420410156e-05,10500,-0.09928829222917557,44433.95703125,16568.40433551,1000.0
263,10.151498794555664,1494459,8.660554885864258e-05,10600,-0.3622415363788605,78623.4921875,16695.0766818,1000.0
263,10.150808334350586,1508559,0.0015698075294494629,10700,-0.3083677887916565,73554.8359375,16723.14605864,1000.0
263,10.152867317199707,1522659,0.0007123351097106934,10800,-0.33859580755233765,48894.51171875,16758.000914160002,1000.0
263,10.154313087463379,1536759,0.011898040771484375,10900,-0.056106992065906525,56581.96875,16836.90752032,1000.0
