policy_entropy,total_timesteps,value_loss,fps,explained_variance,nupdates,policy_loss,ep_reward_mean,ep_len_mean
9.934311866760254,485919,0.21929951012134552,256,-0.753209114074707,6000,-0.04971840977668762,205.6544715,1000.0
9.934324264526367,494019,0.19541475176811218,256,-0.28650081157684326,6100,0.08119533956050873,211.65270194000001,1000.0
9.934349060058594,502119,0.09038639813661575,255,-149.33309936523438,6200,0.05553751438856125,214.8116721,1000.0
9.934350967407227,510219,0.12000821530818939,255,-13.592279434204102,6300,-0.25993287563323975,225.73565879999998,1000.0
9.934369087219238,518319,0.08481214940547943,255,-30536.94140625,6400,-0.2990185022354126,220.19357852999997,1000.0
9.934402465820312,526419,0.9270656704902649,255,0.017804205417633057,6500,0.16600754857063293,225.49615803,1000.0
9.934425354003906,534519,0.07594925165176392,255,-4.9517316818237305,6600,0.1612389087677002,228.42953231000004,1000.0
9.934432983398438,542619,0.1116022914648056,255,-800.8507080078125,6700,0.04856427013874054,227.36112577999995,1000.0
9.934438705444336,550719,0.06388518214225769,255,-115.05953216552734,6800,-0.296318382024765,228.75299181999995,1000.0
9.934442520141602,558819,0.07886432111263275,255,-39802.9765625,6900,-0.10882046818733215,229.055481,1000.0
9.934454917907715,566919,0.07853438705205917,255,-260.29290771484375,7000,-0.10856590420007706,228.40125432000005,1000.0
9.934464454650879,575019,0.1042947992682457,255,-164.0852508544922,7100,-0.10596676170825958,231.37506984,1000.0
9.934486389160156,583119,0.08204153180122375,255,-375.1930236816406,7200,-0.17229226231575012,234.60867592000002,1000.0
9.934500694274902,591219,0.08462755382061005,255,-23.986928939819336,7300,-0.16465629637241364,233.08259662000003,1000.0
9.934501647949219,599319,0.08204589784145355,255,-242.6433563232422,7400,-0.063574880361557,234.49448971,1000.0
9.93450927734375,607419,0.06439834833145142,255,-4.191122531890869,7500,0.19578078389167786,224.35258082000001,1000.0
9.934525489807129,615519,0.10332240164279938,254,-216.28672790527344,7600,-0.20689314603805542,217.43366385,1000.0
9.934547424316406,623619,0.06241654232144356,254,-0.5788658857345581,7700,-0.21634149551391602,217.73937184000002,1000.0
9.934563636779785,631719,0.11363355815410614,254,-97.60853576660156,7800,-0.03529743850231171,213.27885838999998,1000.0
9.934586524963379,639819,0.12119591236114502,254,-12404.7978515625,7900,-0.1414935141801834,206.94197151,1000.0
9.934601783752441,647919,0.09199497848749161,254,-119.92925262451172,8000,0.009786508977413177,215.35528138,1000.0
9.934616088867188,656019,0.4458158612251282,254,-0.1896272897720337,8100,0.009230755269527435,218.69381490999996,1000.0
9.9346284866333,664119,0.06471692025661469,254,-11.826748847961426,8200,-0.08326532691717148,221.36039753999998,1000.0
9.934638023376465,672219,0.05525846406817436,254,-1043.5390625,8300,-0.08181960880756378,228.17035025999994,1000.0
9.934639930725098,680319,0.07577414810657501,254,-20.786352157592773,8400,-0.4713486135005951,229.89434047999998,1000.0
9.934645652770996,688419,0.16775035858154297,254,-0.779222846031189,8500,-0.026123911142349243,232.21065773999996,1000.0
9.934656143188477,696519,0.12256541103124619,254,-21.83580207824707,8600,-0.05363309383392334,225.65270941000006,1000.0
