EpisodesSoFar,TimeElapsed,TimestepsSoFar,entropy,entloss,surrgain,EpThisIter,meankl,EpLenMean,optimgain,explained_variance_tdlam_before,EpRewMean
313,2643.4611825942993,313344,1.0347142,0.0,0.024762377,1,0.010922588,1001.0,0.024762377,0.014406144618988037,40542.88531900001
314,2652.0345356464386,314368,1.010117,0.0,0.0268711,1,0.010638634,1001.0,0.0268711,-0.011251211166381836,40500.45977405
315,2660.5954251289368,315392,1.0130596,0.0,0.025981212,1,0.011223245,1001.0,0.025981212,0.09663641452789307,40569.017241725
316,2668.8484411239624,316416,1.0081158,0.0,0.02623476,1,0.010477523,1001.0,0.02623476,0.004267692565917969,40737.94643525001
317,2677.4263503551483,317440,1.015131,0.0,0.02100051,1,0.0112529285,1001.0,0.02100051,0.1314241886138916,41065.812923800004
318,2685.9498376846313,318464,1.0017778,0.0,0.028842967,1,0.01075801,1001.0,0.028842967,0.25170135498046875,41067.77679335
319,2694.1061499118805,319488,1.0064257,0.0,0.02364579,1,0.009868115,1001.0,0.02364579,-0.006284117698669434,41328.186870075
320,2702.372189283371,320512,1.0303745,0.0,0.019587621,1,0.010421781,1001.0,0.019587621,0.003578364849090576,41721.3272605
321,2710.892240524292,321536,1.0393538,0.0,0.027233329,1,0.00963273,1001.0,0.027233329,0.09575647115707397,41930.50060775001
322,2719.9259054660797,322560,1.0892185,0.0,0.023912447,1,0.010083921,1001.0,0.023912447,0.18058693408966064,42023.370590575
323,2728.713092327118,323584,1.0999585,0.0,0.021953091,1,0.0092836665,1001.0,0.021953091,0.2081257700920105,42190.61453325
324,2737.287652015686,324608,1.067419,0.0,0.024276389,1,0.010542734,1001.0,0.024276389,-0.013920426368713379,42132.44015705
325,2745.897786140442,325632,1.0788407,0.0,0.023359073,1,0.011169307,1001.0,0.023359073,0.3792871832847595,42100.618339875
326,2754.134120941162,326656,1.0442716,0.0,0.026254449,1,0.00966919,1001.0,0.026254449,0.002726733684539795,42405.185179525
327,2762.1482424736023,327680,1.0739374,0.0,0.019578867,1,0.010600738,1001.0,0.019578867,-0.005529046058654785,42811.632529675
328,2770.5606467723846,328704,1.0551686,0.0,0.02575736,1,0.0115526775,1001.0,0.02575736,0.1436018943786621,43126.75400655
329,2779.091593027115,329728,1.0482464,0.0,0.030944,1,0.009624288,1001.0,0.030944,0.43892836570739746,43056.250015
330,2787.427643060684,330752,1.0420613,0.0,0.024590725,1,0.010565015,1001.0,0.024590725,0.1527661681175232,43471.53125475
331,2795.933138370514,331776,1.0095363,0.0,0.023719754,1,0.010907044,1001.0,0.023719754,-0.006514191627502441,43487.123377975004
332,2804.5190801620483,332800,0.9844814,0.0,0.024509529,1,0.011101723,1001.0,0.024509529,-0.015231847763061523,43356.128743550005
333,2813.1382846832275,333824,0.9606492,0.0,0.02334738,1,0.010417218,1001.0,0.02334738,0.0016007423400878906,43202.9628571
334,2822.103322505951,334848,0.9548778,0.0,0.023291185,1,0.011297686,1001.0,0.023291185,-0.004513978958129883,43004.772579175
335,2831.112773180008,335872,0.9327717,0.0,0.022318207,1,0.011549967,1001.0,0.022318207,-0.01672828197479248,43070.981669575
336,2839.814917087555,336896,0.941385,0.0,0.02357452,1,0.010742025,1001.0,0.02357452,0.5177420377731323,42909.771263775
337,2848.0073821544647,337920,0.97760004,0.0,0.023689028,1,0.01092447,1001.0,0.023689028,-0.007620692253112793,43166.051781825
338,2856.0332622528076,338944,0.9598481,0.0,0.025311885,1,0.011391716,1001.0,0.025311885,0.004928171634674072,43472.5244345
339,2864.6160805225372,339968,0.9269643,0.0,0.028756728,1,0.010631333,1001.0,0.028756728,0.2882366180419922,43996.8127925
340,2872.950400829315,340992,0.9188063,0.0,0.026799062,1,0.012618953,1001.0,0.026799062,0.5164439380168915,44046.138214075
341,2881.5019252300262,342016,0.8854311,0.0,0.027038114,1,0.013181334,1001.0,0.027038114,-0.002364516258239746,44396.551062750004
342,2889.7941193580627,343040,0.84404534,0.0,0.026192429,1,0.010651184,1001.0,0.026192429,-0.00012743473052978516,44565.119685175
343,2898.0934052467346,344064,0.8160572,0.0,0.022853881,1,0.010736706,1001.0,0.022853881,-0.004691720008850098,44954.693263
344,2906.5964534282684,345088,0.76406854,0.0,0.023171416,1,0.010751944,1001.0,0.023171416,-0.1011732816696167,45348.127051475
345,2914.9387018680573,346112,0.73383534,0.0,0.031029511,1,0.011848263,1001.0,0.031029511,0.556606113910675,45322.783062874994
