value_loss,policy_entropy,explained_variance,approxkl,fps,n_updates,policy_loss,clipfrac,time_elapsed,serial_timesteps,total_timesteps,ep_reward_mean,ep_len_mean
0.00075911585,9.475733,-0.2287660837173462,0.023440314,266,3114,-0.0004975889,0.25195312,2273.688494205475,99648,398592,59194.80616631001,500.0
0.0005574067,9.47542,-0.3571561574935913,0.056076944,236,3115,-0.014041534,0.40234375,2274.1686289310455,99680,398720,59194.80616631001,500.0
0.00030291209,9.476319,0.030870795249938965,0.053191327,248,3116,0.022795266,0.37109375,2274.711665391922,99712,398848,59194.80616631001,500.0
0.00041553483,9.478039,-0.02067399024963379,0.040670387,270,3117,-0.0006633571,0.34570312,2275.228551387787,99744,398976,59194.80616631001,500.0
0.00036769305,9.484475,-0.040268898010253906,0.038476847,236,3118,0.018588923,0.31640625,2275.702565431595,99776,399104,59194.80616631001,500.0
0.00039748565,9.490989,-0.007529854774475098,0.049120422,248,3119,0.036886863,0.38476562,2276.245049715042,99808,399232,59194.80616631001,500.0
0.00017405451,9.49685,-0.016597986221313477,0.036064595,241,3120,-0.01639901,0.390625,2276.7605566978455,99840,399360,59194.80616631001,500.0
0.00023603674,9.50201,-0.04304850101470947,0.021866646,258,3121,-0.0057395585,0.296875,2277.2904164791107,99872,399488,59194.80616631001,500.0
0.00025718825,9.506659,0.009571552276611328,0.07791588,248,3122,0.04338838,0.47851562,2277.7863233089447,99904,399616,59194.80616631001,500.0
0.00021879982,9.511608,-0.02215254306793213,0.022520838,300,3123,0.018843729,0.265625,2278.3024101257324,99936,399744,59194.80616631001,500.0
0.0002189023,9.506408,0.03759562969207764,0.04557335,297,3124,-0.036367953,0.40234375,2278.728796005249,99968,399872,59194.80616631001,500.0
0.71267205,9.4975815,-0.00021696090698242188,0.03678429,34,3125,0.009628341,0.31640625,2279.1600885391235,100000,400000,59089.962476390014,500.0
0.0064971135,9.5092945,-1.0550389289855957,0.23942123,296,3126,-0.03061652,0.36328125,2282.911576271057,100032,400128,59089.962476390014,500.0
0.0015887959,9.512585,-0.07788598537445068,0.14464319,245,3127,0.028601982,0.47851562,2283.3447420597076,100064,400256,59089.962476390014,500.0
0.0013059187,9.510629,-0.01280510425567627,0.022633951,240,3128,-0.009471198,0.30078125,2283.866417646408,100096,400384,59089.962476390014,500.0
0.0009887398,9.513735,-0.004843235015869141,0.02827775,268,3129,0.00360553,0.33984375,2284.3989310264587,100128,400512,59089.962476390014,500.0
0.0007037348,9.51113,-0.010674595832824707,0.026779503,279,3130,0.00971595,0.3359375,2284.8761219978333,100160,400640,59089.962476390014,500.0
0.000657912,9.510808,0.011454164981842041,0.062529616,258,3131,-0.014259045,0.36132812,2285.335014104843,100192,400768,59089.962476390014,500.0
0.000529444,9.510757,-0.006789445877075195,0.03501194,259,3132,0.00023377314,0.30078125,2285.8322286605835,100224,400896,59089.962476390014,500.0
0.00064577104,9.511469,0.016386032104492188,0.05007365,241,3133,0.021163175,0.37109375,2286.325829744339,100256,401024,59089.962476390014,500.0
0.00051440543,9.515426,0.009225904941558838,0.054505397,264,3134,0.021287784,0.453125,2286.85676074028,100288,401152,59089.962476390014,500.0
0.00032847168,9.517159,0.033387184143066406,0.07826581,239,3135,0.011816951,0.4140625,2287.3408467769623,100320,401280,59089.962476390014,500.0
0.00031171786,9.517037,0.00764840841293335,0.04943772,295,3136,-0.0024189246,0.4140625,2287.87672662735,100352,401408,59089.962476390014,500.0
0.00017445932,9.526408,-0.02025759220123291,0.11158011,249,3137,0.061860386,0.5371094,2288.3103206157684,100384,401536,59089.962476390014,500.0
0.0006537085,9.537649,0.04583311080932617,0.07650032,266,3138,0.011554573,0.5175781,2288.823215484619,100416,401664,59089.962476390014,500.0
0.0003871369,9.5450735,0.05337846279144287,0.025211526,238,3139,-0.010093266,0.2734375,2289.3042874336243,100448,401792,59089.962476390014,500.0
0.00024294792,9.541614,0.07054299116134644,0.038734574,230,3140,-0.0019245781,0.35546875,2289.842529296875,100480,401920,59089.962476390014,500.0
0.6756078,9.539403,0.005553722381591797,0.039800655,33,3141,0.0007733116,0.3046875,2290.398836374283,100512,402048,58949.283664660004,500.0
0.0028612108,9.535326,-0.286945104598999,0.09249629,289,3142,0.042972684,0.453125,2294.255213499069,100544,402176,58949.283664660004,500.0
0.0015781261,9.533137,-0.0022450685501098633,0.030624667,301,3143,0.015940117,0.25585938,2294.698076725006,100576,402304,58949.283664660004,500.0
0.0008771799,9.531917,-0.007943868637084961,0.039103948,295,3144,0.00041547255,0.3359375,2295.1233999729156,100608,402432,58949.283664660004,500.0
0.000863904,9.526676,0.023931145668029785,0.028068976,244,3145,-0.0056243697,0.29296875,2295.5578129291534,100640,402560,58949.283664660004,500.0
0.00062875054,9.53585,-0.018018126487731934,0.18448073,309,3146,0.06461607,0.5644531,2296.080996990204,100672,402688,58949.283664660004,500.0
0.0007183137,9.543023,0.007724761962890625,0.046422303,262,3147,0.008908735,0.36328125,2296.4956107139587,100704,402816,58949.283664660004,500.0
0.00033800383,9.550794,0.02142512798309326,0.08765104,284,3148,0.05776794,0.5175781,2296.984926700592,100736,402944,58949.283664660004,500.0
0.0005731859,9.551117,0.004294395446777344,0.05384575,268,3149,0.0012796731,0.36132812,2297.4363141059875,100768,403072,58949.283664660004,500.0
0.00053945486,9.548139,-0.004169344902038574,0.10053516,257,3150,0.026102621,0.44335938,2297.912919282913,100800,403200,58949.283664660004,500.0
0.00044744735,9.555056,-0.04403531551361084,0.02928248,246,3151,0.011804311,0.296875,2298.410665035248,100832,403328,58949.283664660004,500.0
0.00035155853,9.572877,-0.03207898139953613,0.04051337,244,3152,0.007967103,0.32226562,2298.9314217567444,100864,403456,58949.283664660004,500.0
0.00021702354,9.587874,-0.05795943737030029,0.05319661,246,3153,0.019304162,0.36523438,2299.455254793167,100896,403584,58949.283664660004,500.0
0.00019056238,9.587074,-0.03475213050842285,0.10271657,274,3154,-0.018126909,0.5175781,2299.9755957126617,100928,403712,58949.283664660004,500.0
0.0002046879,9.57923,-0.0033795833587646484,0.033837892,250,3155,0.009335989,0.3203125,2300.443262577057,100960,403840,58949.283664660004,500.0
0.000334173,9.567699,-0.04217982292175293,0.13746996,280,3156,0.07904475,0.5566406,2300.9546382427216,100992,403968,58949.283664660004,500.0
0.5074542,9.561236,0.017046034336090088,0.083731465,34,3157,0.0033047586,0.40625,2301.4116020202637,101024,404096,58868.07904941999,500.0
0.0008949624,9.569177,-0.0034068822860717773,0.0849083,269,3158,0.036508486,0.4765625,2305.08198094368,101056,404224,58868.07904941999,500.0
0.00096503325,9.571236,-0.06184089183807373,0.029607441,288,3159,0.0017463469,0.3046875,2305.5576956272125,101088,404352,58868.07904941999,500.0
0.00074014167,9.561005,-0.03579437732696533,0.02565981,274,3160,-0.017217116,0.33007812,2306.002653837204,101120,404480,58868.07904941999,500.0
0.00046715522,9.540906,-0.015025734901428223,0.07618983,252,3161,-0.027040116,0.421875,2306.470765352249,101152,404608,58868.07904941999,500.0
0.0005733135,9.526436,-0.10332226753234863,0.06150692,243,3162,0.054034222,0.5,2306.9775261878967,101184,404736,58868.07904941999,500.0
