policy_loss,total_timesteps,fps,explained_variance,value_loss,policy_entropy,nupdates,ep_reward_mean,ep_len_mean
-0.3149517774581909,718959,215,-0.03405749797821045,6843.1865234375,11.075943946838379,5100,1838.6416239999996,1000.0
-0.0678703635931015,733059,216,-0.029459238052368164,6225.875,11.081709861755371,5200,1933.7356051999998,1000.0
0.08468972146511078,747159,216,0.002966165542602539,6965.447265625,11.090789794921875,5300,2023.36593359,1000.0
-0.387391060590744,761259,216,0.05681329965591431,6878.40380859375,11.094298362731934,5400,2147.03070581,1000.0
0.03864461928606033,775359,216,0.016542017459869385,7588.70263671875,11.101546287536621,5500,2270.63653646,1000.0
-0.1477009356021881,789459,216,0.03163790702819824,6437.5,11.113968849182129,5600,2419.94572608,1000.0
-0.004643842577934265,803559,216,0.10072463750839233,7724.10009765625,11.120392799377441,5700,2539.32179974,1000.0
-0.00048083066940307617,817659,216,0.0055959224700927734,7584.7392578125,11.125168800354004,5800,2695.09885855,1000.0
-0.12672436237335205,831759,216,0.07883620262145996,9052.23828125,11.123320579528809,5900,2808.2422268,1000.0
-0.06335414946079254,845859,216,0.10960882902145386,6987.21533203125,11.13458251953125,6000,2916.1881777199997,1000.0
0.04644803702831268,859959,216,0.049438416957855225,8504.205078125,11.140009880065918,6100,3005.51869381,1000.0
-0.20231856405735016,874059,217,-0.008306741714477539,8360.69140625,11.149384498596191,6200,3083.0399760700006,1000.0
-0.03507146239280701,888159,217,0.22402620315551758,9778.5634765625,11.152770042419434,6300,3160.60761565,1000.0
0.26354578137397766,902259,217,0.07392001152038574,9740.5009765625,11.162948608398438,6400,3210.7283845999987,1000.0
-0.046784013509750366,916359,217,0.026544034481048584,8948.251953125,11.167326927185059,6500,3265.53074449,1000.0
-0.007039561867713928,930459,217,0.08901852369308472,9441.9443359375,11.17634105682373,6600,3340.0801467700007,1000.0
-0.1317044496536255,944559,217,0.01469123363494873,9093.3701171875,11.186808586120605,6700,3440.4061005999997,1000.0
-0.17088299989700317,958659,217,0.0364115834236145,9822.49609375,11.194554328918457,6800,3514.3125529299996,1000.0
-0.266565203666687,972759,217,-0.03298604488372803,10988.4609375,11.196074485778809,6900,3584.0515938,1000.0
0.10520308464765549,986859,217,0.00020754337310791016,9121.9375,11.19621467590332,7000,3689.0670755199994,1000.0
-0.2979721426963806,1000959,217,0.00017327070236206055,10710.154296875,11.198974609375,7100,3783.8873849300003,1000.0
0.12576143443584442,1015059,217,0.012745380401611328,12760.2265625,11.213953971862793,7200,3891.83108559,1000.0
-0.11419684439897537,1029159,217,9.453296661376953e-05,9797.30859375,11.226807594299316,7300,4015.8796122100002,1000.0
-0.006054870784282684,1043259,218,0.1409512758255005,13680.619140625,11.23204517364502,7400,4110.27555058,1000.0
0.16866791248321533,1057359,218,6.902217864990234e-05,10499.9833984375,11.243012428283691,7500,4238.809078980001,1000.0
-0.40021392703056335,1071459,218,0.0005968809127807617,12682.1640625,11.2490234375,7600,4346.02556852,1000.0
-0.26021909713745117,1085559,218,0.00028955936431884766,13486.046875,11.255997657775879,7700,4428.5151267,1000.0
-0.41663482785224915,1099659,218,5.3942203521728516e-05,12917.216796875,11.267104148864746,7800,4527.14307385,1000.0
-0.21497593820095062,1113759,218,0.00011301040649414062,14840.5556640625,11.277461051940918,7900,4588.87143896,1000.0
-0.18904685974121094,1127859,218,8.07046890258789e-05,11559.0478515625,11.282755851745605,8000,4647.989249270001,1000.0
-0.07483911514282227,1141959,218,3.8623809814453125e-05,11596.5419921875,11.292402267456055,8100,4704.546658120001,1000.0
-0.35319793224334717,1156059,218,0.0812254548072815,13964.4912109375,11.302149772644043,8200,4743.14651572,1000.0
-0.23999717831611633,1170159,218,0.05582559108734131,13304.6318359375,11.310407638549805,8300,4774.34438739,1000.0
0.08636154234409332,1184259,218,0.1789858341217041,15178.1826171875,11.316208839416504,8400,4829.7530183,1000.0
-0.3558728098869324,1198359,218,0.01790785789489746,17707.806640625,11.322789192199707,8500,4883.01766257,1000.0
-0.0661507397890091,1212459,218,0.002212345600128174,16409.986328125,11.33088207244873,8600,4924.462151350001,1000.0
-0.03303045779466629,1226559,218,6.562471389770508e-05,16874.46875,11.341703414916992,8700,4960.14026331,1000.0
-0.08637233823537827,1240659,218,-0.0014729499816894531,21222.466796875,11.349244117736816,8800,4970.901121190001,1000.0
-0.01843114197254181,1254759,218,0.00012826919555664062,18099.59765625,11.356566429138184,8900,5000.691230410001,1000.0
-0.13260586559772491,1268859,218,0.0001112222671508789,15942.7763671875,11.362462043762207,9000,5065.224586769999,1000.0
-0.24653850495815277,1282959,218,0.18318688869476318,19780.8046875,11.368123054504395,9100,5116.3762324,1000.0
-0.3015366196632385,1297059,218,0.04602324962615967,22126.08984375,11.37469482421875,9200,5185.9094943,1000.0
-0.0023675262928009033,1311159,218,0.00020623207092285156,24861.013671875,11.387162208557129,9300,5245.82014996,1000.0
-0.01330123096704483,1325259,218,0.0003674030303955078,26162.091796875,11.391188621520996,9400,5333.1188252,1000.0
-0.11320023238658905,1339359,218,0.027302801609039307,26722.400390625,11.398879051208496,9500,5469.385540349999,1000.0
-0.4534999132156372,1353459,218,0.13806194067001343,27586.115234375,11.40088939666748,9600,5606.360473260001,1000.0
0.1673162579536438,1367559,218,0.020924806594848633,24845.34375,11.40630054473877,9700,5722.03475766,1000.0
-0.2977207899093628,1381659,218,0.02457606792449951,25984.115234375,11.409514427185059,9800,5833.1341938000005,1000.0
