fps,policy_entropy,total_timesteps,value_loss,nupdates,explained_variance,policy_loss,ep_reward_mean,ep_len_mean
307,10.859590530395508,747159,6.035115718841553,5300,-0.012742042541503906,0.02674705535173416,15517.153019530002,1000.0
307,10.878447532653809,761259,6.071220874786377,5400,0.009045124053955078,-0.2465374767780304,15524.14029215,1000.0
307,10.911290168762207,775359,6.069106578826904,5500,-0.007697343826293945,0.08144300431013107,15534.026571780003,1000.0
307,10.91962718963623,789459,6.276120662689209,5600,-0.4974130392074585,-0.1513405740261078,15516.73622164,1000.0
308,10.93201732635498,803559,6.625901699066162,5700,0.006721973419189453,-0.16554869711399078,15471.5819691,1000.0
308,10.942304611206055,817659,6.598811626434326,5800,0.006670653820037842,0.007448382675647736,15447.848346420004,1000.0
308,10.962565422058105,831759,6.7733154296875,5900,-0.0014840364456176758,-0.12414480000734329,15432.77358999,1000.0
308,10.988947868347168,845859,6.921154975891113,6000,-0.0004248619079589844,-0.2592892646789551,15436.529242120001,1000.0
308,11.023269653320312,859959,6.891585826873779,6100,0.005086719989776611,-0.11157601326704025,15421.831886320002,1000.0
308,11.020380973815918,874059,6.903390884399414,6200,0.0022345781326293945,-0.1849789023399353,15377.324685309999,1000.0
308,11.030595779418945,888159,6.765137195587158,6300,-0.06155228614807129,-0.27362316846847534,15389.549088159994,1000.0
309,11.053605079650879,902259,6.888193607330322,6400,0.0017297863960266113,-0.039512597024440765,15440.072967600001,1000.0
309,11.04688835144043,916359,6.901639461517334,6500,-0.01106107234954834,-0.06751642376184464,15466.15741291,1000.0
309,11.028294563293457,930459,6.8996453285217285,6600,0.007128000259399414,0.0455072820186615,15503.27331163,1000.0
309,11.057676315307617,944559,7.0016913414001465,6700,-0.0012984275817871094,0.2031920999288559,15530.032385800003,1000.0
309,11.102375984191895,958659,7.064055442810059,6800,-0.005196690559387207,-0.04442864656448364,15560.87458282,1000.0
309,11.14128589630127,972759,7.016249179840088,6900,-0.015468239784240723,-0.31796514987945557,15579.84707377,1000.0
309,11.159651756286621,986859,6.94414758682251,7000,0.0002894401550292969,0.1343296766281128,15648.709447039999,1000.0
309,11.169346809387207,1000959,6.878645420074463,7100,-0.00757753849029541,-0.045466288924217224,15663.729705689997,1000.0
