serial_timesteps,policy_entropy,policy_loss,explained_variance,time_elapsed,fps,total_timesteps,clipfrac,approxkl,value_loss,n_updates,ep_reward_mean,ep_len_mean
4960,11.762994,-0.06254879,-0.11229956150054932,109.41545844078064,244,19840,0.3984375,0.06420614,0.0118656475,155,222.05317163888887,500.0
4992,11.744627,-0.07448007,-0.041010141372680664,109.93920135498047,251,19968,0.47070312,0.073124945,0.017599206,156,222.05317163888887,500.0
5024,11.777466,-0.055087857,-0.0021219253540039062,110.44773387908936,30,20096,0.44726562,0.065072455,0.25361463,157,219.320474125,500.0
5056,11.817947,-0.065828025,0.01358264684677124,114.63710880279541,250,20224,0.390625,0.051998425,0.05004498,158,219.320474125,500.0
5088,11.832012,-0.05837187,-0.36870408058166504,115.1494812965393,241,20352,0.35546875,0.047929034,0.037941013,159,219.320474125,500.0
5120,11.842047,-0.07267851,-0.15229511260986328,115.67989683151245,250,20480,0.49609375,0.0679373,0.006479219,160,219.320474125,500.0
5152,11.823306,-0.0674906,-0.10606575012207031,116.19409132003784,245,20608,0.43164062,0.08173684,0.021693826,161,219.320474125,500.0
5184,11.796441,-0.058918394,-0.022679448127746582,116.71669030189514,250,20736,0.42578125,0.06862326,0.01072713,162,219.320474125,500.0
5216,11.798212,-0.0703477,-0.0618436336517334,117.22818446159363,250,20864,0.40234375,0.04545168,0.023853244,163,219.320474125,500.0
5248,11.758683,-0.066922106,0.04830247163772583,117.73947358131409,244,20992,0.40234375,0.04916606,0.11292452,164,219.320474125,500.0
5280,11.755955,-0.06686161,-0.13887786865234375,118.26327633857727,244,21120,0.4609375,0.061273806,0.03794063,165,219.320474125,500.0
5312,11.758998,-0.07166138,-0.11220276355743408,118.78669881820679,247,21248,0.47265625,0.07661887,0.033888597,166,219.320474125,500.0
5344,11.783014,-0.055048406,-0.1838012933731079,119.30369758605957,288,21376,0.41601562,0.061331846,0.019034373,167,219.320474125,500.0
5376,11.818537,-0.057783827,-0.1242682933807373,119.7483491897583,254,21504,0.41210938,0.052218907,0.014835174,168,219.320474125,500.0
5408,11.81925,-0.06467284,-0.1055140495300293,120.25175714492798,285,21632,0.43945312,0.085448615,0.010883355,169,219.320474125,500.0
5440,11.821562,-0.056716565,-0.02226269245147705,120.7000801563263,270,21760,0.43359375,0.075698,0.057834383,170,219.320474125,500.0
5472,11.844813,-0.06277479,-0.10333847999572754,121.17445254325867,253,21888,0.38671875,0.065774664,0.015641863,171,219.320474125,500.0
5504,11.921924,-0.06569445,-0.013866424560546875,121.68029522895813,33,22016,0.5234375,0.0779054,0.49574324,172,220.05965165909092,500.0
5536,11.98895,-0.07742403,-1.861022710800171,125.47179698944092,221,22144,0.40039062,0.06519238,0.02233751,173,220.05965165909092,500.0
5568,12.016911,-0.07211258,0.0320928692817688,126.04971432685852,245,22272,0.390625,0.045351993,0.042181637,174,220.05965165909092,500.0
5600,12.011828,-0.05695285,0.01721024513244629,126.5721263885498,216,22400,0.37304688,0.06489555,0.08504294,175,220.05965165909092,500.0
5632,12.010653,-0.059755187,-0.25530898571014404,127.1652603149414,226,22528,0.40820312,0.043735396,0.013833255,176,220.05965165909092,500.0
5664,12.023503,-0.043143287,-0.006383538246154785,127.73004007339478,260,22656,0.328125,0.03835813,1.3269093,177,220.05965165909092,500.0
5696,12.024284,-0.059178144,-0.020776987075805664,128.22289943695068,222,22784,0.4375,0.08216646,0.063453965,178,220.05965165909092,500.0
5728,12.004704,-0.07343384,-0.1092902421951294,128.79912734031677,232,22912,0.5,0.087451234,0.015657226,179,220.05965165909092,500.0
5760,11.968501,-0.0740228,-0.03158891201019287,129.3500051498413,242,23040,0.39257812,0.05508487,0.053475507,180,220.05965165909092,500.0
5792,11.938419,-0.07410328,-0.06875121593475342,129.87822937965393,240,23168,0.43359375,0.068878084,0.022078047,181,220.05965165909092,500.0
5824,11.92881,-0.05343481,-0.11540627479553223,130.4102327823639,235,23296,0.43359375,0.052782226,0.014383598,182,220.05965165909092,500.0
5856,11.969353,-0.06869842,-0.36268508434295654,130.95341324806213,267,23424,0.43945312,0.06993087,0.008510636,183,220.05965165909092,500.0
5888,11.955804,-0.054378204,0.016551554203033447,131.43250274658203,237,23552,0.39453125,0.051830783,0.02482732,184,220.05965165909092,500.0
5920,11.902307,-0.06672265,-0.1721738576889038,131.97257089614868,284,23680,0.42773438,0.08401643,0.0065379175,185,220.05965165909092,500.0
5952,11.884873,-0.055553816,-0.07308197021484375,132.4235405921936,234,23808,0.3515625,0.053124756,0.01212055,186,220.05965165909092,500.0
5984,11.861102,-0.07124893,-0.010470867156982422,132.96998763084412,244,23936,0.43945312,0.071434096,0.06403891,187,220.05965165909092,500.0
6016,11.841367,-0.06570395,0.0034046173095703125,133.4933168888092,31,24064,0.40820312,0.049228728,0.5319013,188,221.86309339583332,500.0
6048,11.858615,-0.06743038,-0.20730924606323242,137.526522397995,271,24192,0.4140625,0.057525598,0.07159514,189,221.86309339583332,500.0
6080,11.896456,-0.059389383,0.011787176132202148,137.9992184638977,246,24320,0.43554688,0.08420982,0.044954482,190,221.86309339583332,500.0
6112,11.910771,-0.0612675,-0.17408645153045654,138.51897263526917,208,24448,0.42382812,0.06863431,0.014709949,191,221.86309339583332,500.0
6144,11.950028,-0.06278641,-0.14149367809295654,139.1347873210907,231,24576,0.41992188,0.059811912,0.020048276,192,221.86309339583332,500.0
6176,11.966179,-0.062196396,-0.1815253496170044,139.68890380859375,225,24704,0.41601562,0.0674894,0.010531586,193,221.86309339583332,500.0
6208,11.945051,-0.04255161,-0.12833380699157715,140.2573046684265,237,24832,0.38085938,0.061752252,0.009068227,194,221.86309339583332,500.0
6240,11.967298,-0.0728018,0.023363828659057617,140.79671359062195,219,24960,0.41015625,0.06570069,0.0060160495,195,221.86309339583332,500.0
6272,11.97142,-0.07372792,-0.17370891571044922,141.3817102909088,237,25088,0.36523438,0.056187555,0.0067089135,196,221.86309339583332,500.0
6304,12.019586,-0.07221082,-0.22011137008666992,141.92100262641907,264,25216,0.42773438,0.08029442,0.006641797,197,221.86309339583332,500.0
6336,12.014019,-0.07751619,-0.24516117572784424,142.40547609329224,245,25344,0.4296875,0.068721466,0.0056307283,198,221.86309339583332,500.0
6368,12.010198,-0.06738693,-0.06408393383026123,142.92800664901733,250,25472,0.4375,0.07703091,0.0063250647,199,221.86309339583332,500.0
6400,12.013781,-0.07496603,-0.0008918046951293945,143.43908953666687,241,25600,0.39257812,0.05261431,0.05509969,200,221.86309339583332,500.0
6432,12.026146,-0.06444419,-0.1023857593536377,143.96961331367493,253,25728,0.36132812,0.059706874,0.053312752,201,221.86309339583332,500.0
6464,12.029638,-0.060365655,-0.06465768814086914,144.47618436813354,238,25856,0.41015625,0.059822716,0.032283507,202,221.86309339583332,500.0
6496,12.034726,-0.06298526,-0.04916679859161377,145.01302909851074,256,25984,0.42382812,0.07755099,0.037419967,203,221.86309339583332,500.0
6528,12.07708,-0.056284577,0.02203887701034546,145.51292037963867,34,26112,0.38085938,0.057315264,0.21907015,204,220.58969407692302,500.0
6560,12.103823,-0.05612799,-0.38750743865966797,149.26818776130676,260,26240,0.359375,0.04275947,0.016050115,205,220.58969407692302,500.0
6592,12.126763,-0.07051646,-0.8344199657440186,149.76115202903748,219,26368,0.41015625,0.06210677,0.008090378,206,220.58969407692302,500.0
6624,12.124599,-0.05960981,0.009616851806640625,150.34531998634338,216,26496,0.38476562,0.064299926,0.062954895,207,220.58969407692302,500.0
6656,12.135246,-0.046110645,0.0042778849601745605,150.93841171264648,227,26624,0.43164062,0.049470305,0.031693507,208,220.58969407692302,500.0
6688,12.139029,-0.073425025,-0.02427804470062256,151.50059604644775,224,26752,0.42382812,0.075328894,0.01639712,209,220.58969407692302,500.0
6720,12.161396,-0.06265348,0.08211302757263184,152.07237076759338,214,26880,0.421875,0.05463278,0.017308122,210,220.58969407692302,500.0
6752,12.18044,-0.07051645,-0.5742038488388062,152.6685905456543,246,27008,0.4140625,0.054966725,0.007553137,211,220.58969407692302,500.0
6784,12.229848,-0.06999251,0.03807002305984497,153.18937993049622,262,27136,0.36132812,0.039015893,0.0298766,212,220.58969407692302,500.0
6816,12.269606,-0.06063488,-0.029405713081359863,153.6772427558899,245,27264,0.3828125,0.053725768,0.025840644,213,220.58969407692302,500.0
6848,12.267266,-0.058441244,0.030469179153442383,154.1996567249298,256,27392,0.4296875,0.07011837,0.025906341,214,220.58969407692302,500.0
6880,12.290283,-0.06833481,-0.20538532733917236,154.70015740394592,245,27520,0.39453125,0.06729053,0.038737647,215,220.58969407692302,500.0
6912,12.321958,-0.065424696,0.037348926067352295,155.2215039730072,264,27648,0.3515625,0.053393353,0.03270663,216,220.58969407692302,500.0
6944,12.333604,-0.058393165,0.01801842451095581,155.7061324119568,238,27776,0.37304688,0.07589846,0.013937597,217,220.58969407692302,500.0
6976,12.379185,-0.07274649,-0.1614288091659546,156.244380235672,244,27904,0.4453125,0.087656006,0.0064464393,218,220.58969407692302,500.0
7008,12.423312,-0.08073002,-0.014179229736328125,156.76833939552307,31,28032,0.39453125,0.052459206,0.47309685,219,219.67154348214285,500.0
7040,12.461714,-0.066540085,-0.005756020545959473,160.8062868118286,230,28160,0.40820312,0.049349967,0.14069396,220,219.67154348214285,500.0
