fps,nupdates,explained_variance,policy_entropy,value_loss,total_timesteps,ep_len_mean,ep_reward_mean
230,9400,-1.1920928955078125e-07,8.759537696838379,68116.0078125,329000,1000.0,36265.2287015
230,9500,3.5762786865234375e-06,8.703301429748535,43626.58203125,332500,1000.0,36265.2287015
230,9600,-4.649162292480469e-06,8.653122901916504,46931.37109375,336000,1000.0,38663.32726801
230,9700,-3.6954879760742188e-06,8.669534683227539,104732.5859375,339500,1000.0,38663.32726801
230,9800,-3.5762786865234375e-06,8.642162322998047,40452.51953125,343000,1000.0,41663.71290863
230,9900,-2.86102294921875e-06,8.640649795532227,27418.177734375,346500,1000.0,41663.71290863
230,10000,-4.887580871582031e-06,8.569604873657227,59302.75390625,350000,1000.0,43794.137035010004
230,10100,-5.960464477539062e-07,8.539204597473145,37336.75,353500,1000.0,43794.137035010004
230,10200,-6.67572021484375e-06,8.522960662841797,81445.7734375,357000,1000.0,45864.62327565001
231,10300,-6.794929504394531e-06,8.49374771118164,90976.453125,360500,1000.0,45864.62327565001
230,10400,1.6689300537109375e-06,8.473514556884766,40829.3125,364000,1000.0,48179.584307360004
231,10500,4.172325134277344e-07,8.473518371582031,84873.4609375,367500,1000.0,48179.584307360004
230,10600,-3.5762786865234375e-07,8.456426620483398,68980.34375,371000,1000.0,51213.65946978999
231,10700,8.344650268554688e-07,8.448053359985352,107831.9921875,374500,1000.0,51213.65946978999
230,10800,-4.76837158203125e-07,8.415875434875488,63841.63671875,378000,1000.0,53564.00623825
231,10900,1.1920928955078125e-06,8.40532112121582,121382.015625,381500,1000.0,53564.00623825
230,11000,4.172325134277344e-07,8.390869140625,45769.51953125,385000,1000.0,56221.77974607999
231,11100,5.960464477539062e-07,8.36055850982666,84517.4765625,388500,1000.0,56221.77974607999
230,11200,5.960464477539062e-07,8.351842880249023,58545.89453125,392000,1000.0,59092.58272217001
231,11300,-8.344650268554688e-07,8.325462341308594,4703.75927734375,395500,1000.0,59092.58272217001
230,11400,-9.5367431640625e-07,8.301419258117676,85803.90625,399000,1000.0,61745.94192435
231,11500,5.960464477539062e-07,8.270162582397461,98442.125,402500,1000.0,61745.94192435
230,11600,8.344650268554688e-07,8.257750511169434,140082.828125,406000,1000.0,64982.61827769
231,11700,7.152557373046875e-07,8.234655380249023,126820.4140625,409500,1000.0,64982.61827769
230,11800,7.152557373046875e-07,8.201502799987793,140020.1875,413000,1000.0,67714.39381447999
231,11900,0.0,8.213083267211914,116766.1796875,416500,1000.0,67714.39381447999
230,12000,7.748603820800781e-07,8.142659187316895,56745.2578125,420000,1000.0,71367.58874578
231,12100,-4.76837158203125e-07,8.12063217163086,92956.2734375,423500,1000.0,71367.58874578
230,12200,0.0,8.118046760559082,64272.69140625,427000,1000.0,74937.21563380999
231,12300,8.940696716308594e-07,8.111398696899414,113005.921875,430500,1000.0,74937.21563380999
230,12400,7.510185241699219e-06,8.08090591430664,192023.609375,434000,1000.0,76855.61813669
231,12500,-1.1920928955078125e-07,8.05868911743164,104891.3671875,437500,1000.0,76855.61813669
230,12600,1.2516975402832031e-06,8.048316955566406,60484.64453125,441000,1000.0,79236.17067969001
231,12700,7.748603820800781e-07,8.005212783813477,41481.390625,444500,1000.0,79236.17067969001
230,12800,1.0132789611816406e-06,7.949047088623047,53519.37109375,448000,1000.0,81159.8761863
231,12900,8.344650268554688e-07,7.933043479919434,138226.8125,451500,1000.0,81159.8761863
230,13000,6.556510925292969e-07,7.903521537780762,86084.234375,455000,1000.0,83345.59800759
231,13100,2.384185791015625e-07,7.874199390411377,146378.3125,458500,1000.0,83345.59800759
230,13200,1.0132789611816406e-06,7.855690956115723,62715.5625,462000,1000.0,85518.56193029002
230,13300,-2.2649765014648438e-06,7.817773342132568,33336.89453125,465500,1000.0,85518.56193029002
230,13400,-1.6689300537109375e-06,7.7906389236450195,139880.625,469000,1000.0,86343.49262953
230,13500,8.344650268554688e-07,7.75482177734375,84597.484375,472500,1000.0,86343.49262953
230,13600,1.0728836059570312e-06,7.723509788513184,85236.7890625,476000,1000.0,85576.60037546
231,13700,-1.1920928955078125e-07,7.7201104164123535,64015.40625,479500,1000.0,85576.60037546
230,13800,7.152557373046875e-07,7.677641868591309,120114.2421875,483000,1000.0,86469.82583923999
231,13900,1.1920928955078125e-07,7.673247337341309,101982.03125,486500,1000.0,86469.82583923999
230,14000,-2.384185791015625e-07,7.642726421356201,87123.6328125,490000,1000.0,86964.42635538001
231,14100,-1.1920928955078125e-07,7.602565288543701,36446.41015625,493500,1000.0,86964.42635538001
230,14200,-1.3113021850585938e-06,7.597914218902588,88256.859375,497000,1000.0,87264.1143047
231,14300,1.1324882507324219e-06,7.568910598754883,78821.4453125,500500,1000.0,87264.1143047
231,14400,5.960464477539062e-07,7.5724992752075195,149886.734375,504000,1000.0,87419.05517030001
231,14500,-1.430511474609375e-06,7.550323486328125,491.0269470214844,507500,1000.0,87419.05517030001
231,14600,4.76837158203125e-07,7.553880214691162,109168.234375,511000,1000.0,84562.01370220998
231,14700,5.960464477539063e-08,7.524381637573242,141586.828125,514500,1000.0,84562.01370220998
231,14800,-9.5367431640625e-07,7.489371299743652,99049.03125,518000,1000.0,85466.88878973
231,14900,-7.152557373046875e-07,7.473659038543701,112238.859375,521500,1000.0,85466.88878973
231,15000,-7.152557373046875e-07,7.443365573883057,169822.1875,525000,1000.0,85341.15394669001
231,15100,9.5367431640625e-07,7.414539337158203,121815.359375,528500,1000.0,85341.15394669001
231,15200,-1.1920928955078125e-07,7.4083380699157715,111644.8828125,532000,1000.0,86348.99539584
231,15300,-1.0728836059570312e-06,7.3734130859375,78043.015625,535500,1000.0,86348.99539584
231,15400,5.364418029785156e-07,7.371044158935547,117546.1875,539000,1000.0,86497.27361034001
231,15500,-1.5497207641601562e-06,7.344260215759277,97964.171875,542500,1000.0,86497.27361034001
231,15600,0.0,7.330395698547363,95648.5,546000,1000.0,86596.38671068
231,15700,-1.0728836059570312e-06,7.309998512268066,135230.59375,549500,1000.0,86596.38671068
231,15800,-1.0728836059570312e-06,7.327310562133789,124712.6875,553000,1000.0,86028.86403879
231,15900,1.8477439880371094e-06,7.3019118309021,99159.2421875,556500,1000.0,86028.86403879
231,16000,-3.5762786865234375e-07,7.282474517822266,108717.640625,560000,1000.0,86252.11646632
231,16100,-1.1920928955078125e-07,7.269702911376953,100330.0859375,563500,1000.0,86252.11646632
231,16200,-5.960464477539062e-07,7.237854957580566,146960.125,567000,1000.0,86791.60689889002
231,16300,5.364418029785156e-07,7.232231616973877,72987.5703125,570500,1000.0,86791.60689889002
231,16400,9.5367431640625e-07,7.1788129806518555,136139.109375,574000,1000.0,88392.60322289
231,16500,8.344650268554688e-07,7.135828495025635,91108.9609375,577500,1000.0,88392.60322289
231,16600,1.3709068298339844e-06,7.1044440269470215,123722.125,581000,1000.0,88191.08865174999
231,16700,1.424551010131836e-05,7.083169460296631,890.4970092773438,584500,1000.0,88191.08865174999
231,16800,-5.960464477539062e-07,7.062304496765137,326726.0625,588000,1000.0,86568.35611996001
231,16900,1.2516975402832031e-06,6.991344928741455,11065.353515625,591500,1000.0,86568.35611996001
231,17000,1.1324882507324219e-06,6.981021404266357,220935.4375,595000,1000.0,84981.21882320999
231,17100,-7.152557373046875e-07,6.956936359405518,6600.9189453125,598500,1000.0,84981.21882320999
231,17200,1.1920928955078125e-07,6.934202671051025,165926.578125,602000,1000.0,85051.36644631998
231,17300,-4.76837158203125e-07,6.891376972198486,147323.78125,605500,1000.0,85051.36644631998
231,17400,-1.5020370483398438e-05,6.870049476623535,405084.09375,609000,1000.0,87147.98342299
231,17500,-7.152557373046875e-07,6.865094184875488,107907.625,612500,1000.0,87147.98342299
231,17600,2.384185791015625e-07,6.857773303985596,138262.84375,616000,1000.0,87415.594288
231,17700,-1.1920928955078125e-06,6.845273971557617,71156.5859375,619500,1000.0,87415.594288
231,17800,3.5762786865234375e-07,6.8236083984375,141524.171875,623000,1000.0,87158.07314015
231,17900,-4.291534423828125e-06,6.802265167236328,1096.3408203125,626500,1000.0,87158.07314015
231,18000,1.4901161193847656e-06,6.780797004699707,169655.6875,630000,1000.0,86419.58378517
231,18100,2.4437904357910156e-06,6.768025875091553,81177.5703125,633500,1000.0,86419.58378517
231,18200,2.7418136596679688e-06,6.7832231521606445,300569.5625,637000,1000.0,87042.88545152001
231,18300,0.0,6.786893367767334,111486.28125,640500,1000.0,87042.88545152001
231,18400,-2.384185791015625e-07,6.793296813964844,156763.421875,644000,1000.0,87521.16302231
231,18500,2.384185791015625e-07,6.747555255889893,54335.81640625,647500,1000.0,87521.16302231
231,18600,7.748603820800781e-07,6.749279975891113,165323.65625,651000,1000.0,89178.94525795997
231,18700,5.364418029785156e-07,6.750235557556152,107654.015625,654500,1000.0,89178.94525795997
231,18800,-4.76837158203125e-07,6.752811431884766,174055.828125,658000,1000.0,89689.75358056002
