fps,policy_loss,total_timesteps,nupdates,value_loss,explained_variance,policy_entropy,ep_len_mean,ep_reward_mean
291,0.3016115427017212,1212459,8600,5.544615745544434,0.0015344023704528809,-3.1999905109405518,1000.0,125288.67547185002
291,-0.0844702422618866,1226559,8700,5.425149440765381,-9.500980377197266e-05,-3.1973910331726074,1000.0,125431.55447162002
291,-0.06429661810398102,1240659,8800,5.278663635253906,0.0023998022079467773,-3.2888193130493164,1000.0,125607.32317016002
291,-0.04503066465258598,1254759,8900,5.155601978302002,-0.003652334213256836,-3.362048864364624,1000.0,125548.74736838999
291,-0.031638503074645996,1268859,9000,5.023336410522461,0.0012151598930358887,-3.4477243423461914,1000.0,125504.08813641
291,0.1755853295326233,1282959,9100,4.936380863189697,-0.003140091896057129,-3.517059326171875,1000.0,125472.49185845001
291,0.16154995560646057,1297059,9200,4.855051040649414,-0.0007327795028686523,-3.606631278991699,1000.0,125486.04490738997
291,0.09149631857872009,1311159,9300,4.784745693206787,-0.0015517473220825195,-3.720917224884033,1000.0,125387.00798511
291,0.10530714690685272,1325259,9400,4.726192474365234,-0.0012404918670654297,-3.7356598377227783,1000.0,125353.07549056999
291,-0.028358779847621918,1339359,9500,4.674939155578613,0.0028693675994873047,-3.7468478679656982,1000.0,125302.59794431999
291,0.10216153413057327,1353459,9600,4.582719802856445,0.0009470582008361816,-3.8367087841033936,1000.0,125352.78758765999
291,-0.124091736972332,1367559,9700,4.510139465332031,0.002408444881439209,-3.8961551189422607,1000.0,125461.01671916999
291,-0.11710765957832336,1381659,9800,4.442394256591797,0.006357252597808838,-3.935161828994751,1000.0,125522.63070614997
291,-0.016488783061504364,1395759,9900,4.421456813812256,-0.0035092830657958984,-3.995511293411255,1000.0,125571.29760250999
291,-0.25669828057289124,1409859,10000,4.372333526611328,-0.0016521215438842773,-4.0223307609558105,1000.0,125674.18904175003
291,0.3807980418205261,1423959,10100,4.835809707641602,-0.34140586853027344,-4.044238567352295,1000.0,123721.3476707
291,0.1633572280406952,1438059,10200,4.2762956619262695,-7.152557373046875e-06,-4.054154396057129,1000.0,120726.92864466997
291,0.1849171221256256,1452159,10300,4.173714637756348,0.06149071455001831,-4.037728309631348,1000.0,118542.74059939999
291,0.11804619431495667,1466259,10400,3.91796612739563,-0.0010913610458374023,-4.077637672424316,1000.0,116778.33061989
291,0.04249304160475731,1480359,10500,4.00160026550293,0.0018805265426635742,-4.109585285186768,1000.0,115540.75608213
291,-0.09059064835309982,1494459,10600,4.007139205932617,-0.0043866634368896484,-4.152763843536377,1000.0,115126.00947543002
291,0.02242334373295307,1508559,10700,3.991854429244995,0.0019064545631408691,-4.157084941864014,1000.0,114816.77915638
291,-0.027849841862916946,1522659,10800,4.121652603149414,-0.0011701583862304688,-4.174487113952637,1000.0,116445.10648265002
291,0.016270054504275322,1536759,10900,4.112088680267334,0.0003896951675415039,-4.250541687011719,1000.0,119257.58289652999
291,-0.12735748291015625,1550859,11000,4.0441718101501465,-0.0012967586517333984,-4.252291679382324,1000.0,121360.44923274999
291,0.10838283598423004,1564959,11100,4.068430423736572,-0.13192760944366455,-4.216025352478027,1000.0,123013.20282444
291,-0.156301349401474,1579059,11200,4.06818151473999,0.0006107091903686523,-4.260246753692627,1000.0,124371.12288128001
291,-0.09263332188129425,1593159,11300,4.074772357940674,8.159875869750977e-05,-4.270152568817139,1000.0,124557.80667454
291,0.12697733938694,1607259,11400,3.984684944152832,-0.000278472900390625,-4.291413307189941,1000.0,124502.51086637001
292,-0.020729288458824158,1621359,11500,3.9688847064971924,0.0002582669258117676,-4.364821434020996,1000.0,124480.94305716999
292,0.23321998119354248,1635459,11600,3.9485573768615723,-0.0003184080123901367,-4.391251564025879,1000.0,124481.02549418001
292,-0.0489640012383461,1649559,11700,3.9213192462921143,-0.0005801916122436523,-4.3435797691345215,1000.0,124589.68228676003
292,0.23187747597694397,1663659,11800,3.9169764518737793,-0.005167722702026367,-4.3785481452941895,1000.0,124877.07607566
292,0.11340299248695374,1677759,11900,3.907728433609009,-0.0022115707397460938,-4.394244194030762,1000.0,125040.92726498
292,-0.08503462374210358,1691859,12000,3.9611990451812744,0.0028336644172668457,-4.369292259216309,1000.0,125365.57858466002
292,0.14962179958820343,1705959,12100,3.9357705116271973,0.004334628582000732,-4.345909118652344,1000.0,125761.83846064997
292,0.24938765168190002,1720059,12200,3.8667829036712646,-0.0014259815216064453,-4.3402180671691895,1000.0,125826.89657156
292,-0.10416241735219955,1734159,12300,3.873446226119995,-0.000950932502746582,-4.391219615936279,1000.0,125899.42725113001
292,0.40388023853302,1748259,12400,3.820111036300659,-0.00042998790740966797,-4.470856666564941,1000.0,126043.09248870001
292,0.2548528015613556,1762359,12500,3.783431053161621,-0.0032886266708374023,-4.507133960723877,1000.0,126142.89639227003
292,0.2440798580646515,1776459,12600,3.7639613151550293,0.0025470852851867676,-4.509316444396973,1000.0,126097.19894185002
292,-0.01407591626048088,1790559,12700,3.767838716506958,-0.0032558441162109375,-4.540401935577393,1000.0,126104.22008041998
292,0.07190161943435669,1804659,12800,3.7667253017425537,-0.0019887685775756836,-4.552651405334473,1000.0,125993.0828627
292,-0.010257672518491745,1818759,12900,3.7250866889953613,-0.0018662214279174805,-4.543515205383301,1000.0,125995.04116102001
292,0.2179407924413681,1832859,13000,3.67791748046875,-0.0008602142333984375,-4.5428080558776855,1000.0,125961.53980696
292,0.4411098062992096,1846959,13100,3.697239398956299,-0.0016891956329345703,-4.528724193572998,1000.0,125993.1724598
292,0.1028117835521698,1861059,13200,3.679243803024292,-0.00042128562927246094,-4.543724060058594,1000.0,125944.27660123
292,0.23251469433307648,1875159,13300,3.6607577800750732,-0.0017980337142944336,-4.514203071594238,1000.0,125931.50151317
292,-0.19262608885765076,1889259,13400,3.664459228515625,0.00033974647521972656,-4.484565734863281,1000.0,125885.2710192
292,0.10345284640789032,1903359,13500,3.607074022293091,-0.0003877878189086914,-4.457272529602051,1000.0,125860.82483562002
292,-0.20194970071315765,1917459,13600,3.5519115924835205,0.0012789368629455566,-4.448296070098877,1000.0,125745.81662999002
292,-0.05011274665594101,1931559,13700,3.503150701522827,0.0008494257926940918,-4.449798107147217,1000.0,125666.89092911
292,0.20775723457336426,1945659,13800,3.469914674758911,6.80088996887207e-05,-4.459060192108154,1000.0,125592.78872654999
292,0.40918678045272827,1959759,13900,3.426295757293701,0.0004546046257019043,-4.453307628631592,1000.0,125568.07360702999
292,-0.16286493837833405,1973859,14000,3.389239549636841,-0.0006757974624633789,-4.446479320526123,1000.0,125610.03397965999
292,0.20847591757774353,1987959,14100,3.3646581172943115,-0.0006064176559448242,-4.454588890075684,1000.0,125589.12462146998
292,0.29881545901298523,2002059,14200,3.352963447570801,0.0001900792121887207,-4.450480937957764,1000.0,125615.7537297
