serial_timesteps,n_updates,fps,explained_variance,policy_loss,total_timesteps,policy_entropy,time_elapsed,clipfrac,value_loss,approxkl,ep_reward_mean,ep_len_mean
23744,742,246,-0.023239493370056152,-0.0067138397,94976,10.025689,558.9463949203491,0.005859375,0.00089783064,0.001288916,2881.03479946,500.0
23776,743,230,0.3043152689933777,-0.004799162,95104,10.023178,559.4673511981964,0.0,0.0049937163,0.0010052291,2881.03479946,500.0
23808,744,234,0.25940394401550293,-0.004131408,95232,10.023054,560.023027420044,0.0,0.0037145235,0.0009297583,2881.03479946,500.0
23840,745,257,-1.0240676403045654,-0.0018633485,95360,10.023991,560.5696384906769,0.0,0.0021266309,0.0008518467,2881.03479946,500.0
23872,746,255,-1.0667877197265625,-0.0059085977,95488,10.024596,561.0678451061249,0.0,0.0012787738,0.00078293326,2881.03479946,500.0
23904,747,254,-0.14647674560546875,-0.005839379,95616,10.024552,561.5705008506775,0.001953125,0.0014772873,0.0012918662,2881.03479946,500.0
23936,748,235,-0.17463576793670654,-0.0071347672,95744,10.024473,562.0745148658752,0.005859375,0.002796288,0.0015090206,2881.03479946,500.0
23968,749,230,-0.5303136110305786,-0.0075256713,95872,10.02364,562.6196205615997,0.009765625,0.00219358,0.0012827409,2881.03479946,500.0
24000,750,32,0.07958787679672241,-0.002969932,96000,10.023655,563.1750249862671,0.001953125,0.6597895,0.00084089156,2910.2678029299987,500.0
24032,751,226,0.17569845914840698,-0.0055629164,96128,10.023218,567.1302583217621,0.001953125,0.0152149005,0.0006271845,2910.2678029299987,500.0
24064,752,227,-0.8271443843841553,-0.0071831653,96256,10.024419,567.6951920986176,0.0,0.013933665,0.00077009806,2910.2678029299987,500.0
24096,753,226,0.6582632660865784,-0.010679297,96384,10.025539,568.2583198547363,0.00390625,0.01221131,0.0016533744,2910.2678029299987,500.0
24128,754,230,0.820372000336647,-0.007734213,96512,10.025722,568.8249275684357,0.005859375,0.009240789,0.0017390242,2910.2678029299987,500.0
24160,755,234,0.8166373074054718,-0.0047882935,96640,10.026743,569.3806037902832,0.00390625,0.012155238,0.0013037974,2910.2678029299987,500.0
24192,756,209,0.8966252878308296,-0.007321329,96768,10.026229,569.9280424118042,0.00390625,0.005518499,0.0008842922,2910.2678029299987,500.0
24224,757,250,-3.1330957412719727,0.0006818675,96896,10.025404,570.53946352005,0.0,0.007484823,0.00065437995,2910.2678029299987,500.0
24256,758,242,-1.3765621185302734,-0.010159731,97024,10.024991,571.0514442920685,0.005859375,0.0061540604,0.0013440291,2910.2678029299987,500.0
