total_timesteps,policy_entropy,value_loss,explained_variance,fps,nupdates,ep_len_mean,ep_reward_mean
325500,8.838028907775879,292.7733154296875,1.9371509552001953e-05,288,9300,1000.0,11315.49607247
329000,8.814726829528809,109352.375,5.08427619934082e-05,288,9400,1000.0,11588.462915090002
332500,8.803180694580078,29617.1796875,0.0,288,9500,1000.0,11588.462915090002
336000,8.791095733642578,112303.5859375,2.3245811462402344e-05,288,9600,1000.0,11869.558416199998
339500,8.768234252929688,21751.650390625,-2.7418136596679688e-06,289,9700,1000.0,11869.558416199998
343000,8.76981258392334,111498.203125,3.6597251892089844e-05,288,9800,1000.0,12376.605640019998
346500,8.736157417297363,1843.5626220703125,5.900859832763672e-06,289,9900,1000.0,12376.605640019998
350000,8.720353126525879,117886.640625,1.0728836059570312e-06,289,10000,1000.0,12999.363485360002
353500,8.712865829467773,928.2757568359375,0.00012171268463134766,289,10100,1000.0,12999.363485360002
357000,8.690658569335938,121642.5546875,5.638599395751953e-05,289,10200,1000.0,13099.953970260001
360500,8.651127815246582,4080.5517578125,1.3887882232666016e-05,290,10300,1000.0,13099.953970260001
364000,8.606191635131836,123944.1015625,2.5033950805664062e-06,289,10400,1000.0,13892.422834080004
367500,8.545605659484863,23918.7734375,3.045797348022461e-05,290,10500,1000.0,13892.422834080004
371000,8.502776145935059,145496.59375,7.76052474975586e-05,290,10600,1000.0,14565.90445053
374500,8.498356819152832,1254.25244140625,0.7147135734558105,291,10700,1000.0,14565.90445053
378000,8.500714302062988,150154.953125,0.0021913647651672363,290,10800,1000.0,14422.827045959997
381500,8.51052188873291,784.8997802734375,-0.0001684427261352539,291,10900,1000.0,14422.827045959997
385000,8.49290943145752,155045.75,0.00017565488815307617,290,11000,1000.0,14571.933261470002
388500,8.453479766845703,9355.8466796875,-7.62939453125e-06,291,11100,1000.0,14571.933261470002
392000,8.442051887512207,152454.671875,5.805492401123047e-05,291,11200,1000.0,14634.582190860003
395500,8.440494537353516,522.4384155273438,0.9918481111526489,292,11300,1000.0,14634.582190860003
