total_timesteps,policy_entropy,fps,nupdates,explained_variance,value_loss,policy_loss,ep_reward_mean,ep_len_mean
923319,12.435935020446777,264,11400,-0.01526021957397461,9.665718078613281,0.23527175188064575,14677.16476236,1000.0
931419,12.508225440979004,264,11500,-0.009788036346435547,9.7186279296875,-0.09121062606573105,14764.01310329,1000.0
939519,12.50518798828125,264,11600,-0.003795146942138672,9.855076789855957,-0.12011970579624176,14761.31736943,1000.0
947619,12.50406551361084,264,11700,0.01311647891998291,9.846193313598633,-0.026134230196475983,14810.26282324,1000.0
955719,12.514870643615723,264,11800,0.003328979015350342,9.792147636413574,-0.6593814492225647,14875.855125739998,1000.0
963819,12.531388282775879,264,11900,0.005529284477233887,9.739239692687988,-0.12146179378032684,14879.99378205,1000.0
971919,12.556350708007812,264,12000,0.005487501621246338,9.605032920837402,-0.10487155616283417,14936.257196679997,1000.0
980019,12.570174217224121,264,12100,0.004631936550140381,9.528589248657227,-0.10932905972003937,14969.589698060001,1000.0
988119,12.570023536682129,264,12200,-0.011282086372375488,9.452077865600586,0.22130528092384338,15002.349047519998,1000.0
996219,12.567736625671387,264,12300,-0.0021238327026367188,9.394238471984863,-0.3919716477394104,15045.65323841,1000.0
1004319,12.562398910522461,263,12400,-9.417533874511719e-06,9.319199562072754,0.12320175766944885,15072.550394090002,1000.0
1012419,12.568267822265625,263,12500,-0.00016796588897705078,9.295755386352539,-0.33440113067626953,15075.910115050001,1000.0
