fps,nupdates,value_loss,policy_loss,total_timesteps,policy_entropy,explained_variance,ep_len_mean,ep_reward_mean
282,9100,15497.4716796875,-0.04928812384605408,1282959,10.352595329284668,5.960464477539063e-08,1000.0,8036.231496890002
283,9200,15894.998046875,-0.09596256166696548,1297059,10.357065200805664,-1.1920928955078125e-07,1000.0,8048.20814726
283,9300,16179.7431640625,-0.011040247976779938,1311159,10.362180709838867,2.384185791015625e-07,1000.0,8057.16125391
283,9400,16822.6796875,-0.048027683049440384,1325259,10.364466667175293,0.0,1000.0,8063.374891370002
283,9500,17405.109375,-0.14278513193130493,1339359,10.368107795715332,0.0,1000.0,8068.339256020001
283,9600,17878.802734375,-0.005548514425754547,1353459,10.37299633026123,-1.1920928955078125e-07,1000.0,8073.040981000001
283,9700,18555.142578125,0.03431428223848343,1367559,10.379847526550293,-2.384185791015625e-07,1000.0,8082.03166418
283,9800,18677.990234375,-0.17203526198863983,1381659,10.385518074035645,0.0,1000.0,8084.960019380001
283,9900,19333.484375,-0.08479886502027512,1395759,10.386622428894043,-1.1920928955078125e-07,1000.0,8077.20559485
283,10000,19947.4921875,0.08440465480089188,1409859,10.389932632446289,0.0,1000.0,8076.68357118
283,10100,20536.302734375,-0.20424780249595642,1423959,10.395554542541504,0.0,1000.0,8084.52839118
284,10200,20996.884765625,-0.30780163407325745,1438059,10.397562026977539,0.0,1000.0,8085.917754959998
284,10300,22168.005859375,-0.011703826487064362,1452159,10.401942253112793,1.1920928955078125e-07,1000.0,8091.23420527
284,10400,23063.6953125,-0.15787877142429352,1466259,10.404206275939941,0.0,1000.0,8090.54241156
284,10500,23608.3515625,-0.2453816533088684,1480359,10.404881477355957,-1.1920928955078125e-07,1000.0,8097.10654868
284,10600,24123.904296875,0.06582432985305786,1494459,10.409728050231934,0.0,1000.0,8100.086774390001
284,10700,24761.76171875,-0.09550484269857407,1508559,10.4161376953125,1.1920928955078125e-07,1000.0,8106.29593519
