nupdates,value_loss,explained_variance,policy_loss,total_timesteps,fps,policy_entropy,ep_reward_mean,ep_len_mean
9300,0.09365087747573853,-0.0022128820419311523,-0.26966333389282227,306867,192,6.944908142089844,951.59902985,1000.0
9400,0.13646574318408966,-0.045105576515197754,-0.1688310205936432,310167,192,6.909440517425537,1006.9111952899999,1000.0
9500,210.5169219970703,-0.0014984607696533203,0.49157586693763733,313467,192,6.840935230255127,1082.8161191899999,1000.0
9600,0.9593204259872437,-0.012809514999389648,0.3220352530479431,316767,192,6.789275169372559,1146.9165715899999,1000.0
9700,0.015050222165882587,-0.0065844058990478516,-0.3811650276184082,320067,193,6.731523036956787,1209.95699126,1000.0
9800,0.010307646356523037,0.01051861047744751,0.17660774290561676,323367,193,6.677852630615234,1265.06490267,1000.0
9900,0.2482118308544159,-0.01263570785522461,0.2714659869670868,326667,193,6.6478376388549805,1327.43919159,1000.0
10000,212.41036987304688,-0.005538344383239746,0.07339207082986832,329967,193,6.586863040924072,1412.02895746,1000.0
10100,0.22051575779914856,0.006214320659637451,0.26509854197502136,333267,193,6.533384323120117,1474.43103333,1000.0
10200,0.0317208468914032,0.009861648082733154,0.04557561129331589,336567,194,6.477458477020264,1540.8216257999998,1000.0
10300,0.009914178401231766,-0.057146310806274414,-0.4264791011810303,339867,194,6.41480016708374,1606.94792092,1000.0
10400,0.023501630872488022,0.019845664501190186,0.05901322513818741,343167,194,6.373186111450195,1677.9495913800001,1000.0
10500,215.22808837890625,0.009821116924285889,-0.4684339165687561,346467,194,6.319371223449707,1769.58360428,1000.0
10600,0.12770871818065643,-0.034363746643066406,-0.029056362807750702,349767,194,6.265499114990234,1828.96642311,1000.0
10700,0.2086673229932785,0.009079337120056152,0.06272970139980316,353067,194,6.211325168609619,1900.3412266599998,1000.0
10800,0.13281984627246857,-0.044919729232788086,0.2701452374458313,356367,194,6.172091007232666,1970.4168165400001,1000.0
10900,0.005045715719461441,-0.0121612548828125,-0.34329164028167725,359667,195,6.115748405456543,2051.4905920200003,1000.0
11000,218.79934692382812,0.01158827543258667,0.48890966176986694,362967,195,6.071770191192627,2153.15266884,1000.0
11100,0.1578131765127182,0.007243514060974121,-0.26885393261909485,366267,195,6.0206379890441895,2244.35724434,1000.0
11200,0.13720102608203888,0.029101788997650146,-0.34133073687553406,369567,195,5.994693756103516,2326.4625752,1000.0
11300,0.3438556492328644,0.0007513761520385742,0.17586001753807068,372867,195,5.962767601013184,2413.49928121,1000.0
11400,0.11535066366195679,-0.004311323165893555,-0.14652042090892792,376167,195,5.903950214385986,2491.67129788,1000.0
11500,222.46583557128906,-0.006906628608703613,-0.1260775923728943,379467,195,5.861374855041504,2605.1226904500004,1000.0
11600,0.04133222997188568,0.015218257904052734,-0.7076221108436584,382767,195,5.829911231994629,2701.8490756399992,1000.0
11700,0.0017637941054999828,0.05168652534484863,-0.21487215161323547,386067,196,5.78872537612915,2797.1789793,1000.0
11800,0.030284475535154343,0.0051233768463134766,-0.8360384702682495,389367,196,5.745826721191406,2884.2860722600003,1000.0
11900,1.6906936168670654,0.0011754035949707031,-0.5244741439819336,392667,196,5.706751346588135,2982.6792954900006,1000.0
12000,226.08140563964844,0.0019311308860778809,-0.14718745648860931,395967,196,5.657136917114258,3119.6189922899994,1000.0
12100,0.2783832252025604,4.863739013671875e-05,-0.4643189609050751,399267,196,5.6357526779174805,3228.1119775299994,1000.0
12200,1.4650535583496094,0.002143681049346924,-0.20818465948104858,402567,196,5.59503698348999,3346.9482821699994,1000.0
12300,0.1317225694656372,-0.007359743118286133,0.14371861517429352,405867,196,5.5504655838012695,3454.18835027,1000.0
12400,5.5603718757629395,-0.0007892847061157227,-0.25624772906303406,409167,196,5.5164995193481445,3571.00999516,1000.0
12500,226.26031494140625,-0.0010690689086914062,-0.05974268913269043,412467,196,5.4836649894714355,3750.0851406,1000.0
12600,0.005669276230037212,0.021756350994110107,0.5917307734489441,415767,196,5.447914123535156,3863.0474158900006,1000.0
12700,0.022087622433900833,0.0012362003326416016,-0.692974328994751,419067,196,5.40767240524292,3973.90029316,1000.0
12800,0.013790049590170383,-0.005511879920959473,-0.16982145607471466,422367,197,5.358962059020996,4123.62368816,1000.0
12900,0.08904540538787842,-0.0015360116958618164,0.13585564494132996,425667,197,5.324349403381348,4248.23376016,1000.0
13000,220.099609375,-0.0002551078796386719,-0.45696142315864563,428967,197,5.297608375549316,4437.007744240001,1000.0
13100,0.06444312632083893,-0.006635069847106934,0.1595403403043747,432267,197,5.2577643394470215,4574.992226910001,1000.0
13200,0.06942389905452728,0.0025569796562194824,-0.034893885254859924,435567,197,5.224165439605713,4722.294204809999,1000.0
13300,0.014134022407233715,0.00964897871017456,0.042890604585409164,438867,197,5.184342861175537,4871.48446194,1000.0
13400,0.11532104015350342,0.004336416721343994,0.09350483119487762,442167,197,5.147860527038574,5002.58452961,1000.0
13500,233.44227600097656,-0.0007050037384033203,-0.33294278383255005,445467,197,5.118844985961914,5153.113537990001,1000.0
13600,0.19579052925109863,0.0035583972930908203,-0.1381281018257141,448767,197,5.10310173034668,5320.15056998,1000.0
13700,0.4153316020965576,-0.005350351333618164,-0.46947523951530457,452067,197,5.052396774291992,5478.557509039999,1000.0
13800,0.03910915553569794,-0.008439898490905762,-0.6541687250137329,455367,197,5.017531394958496,5626.564385930002,1000.0
13900,0.6183533668518066,-0.0003751516342163086,0.21361325681209564,458667,198,4.992671966552734,5778.1451283100005,1000.0
14000,223.71017456054688,-0.0009578466415405273,-0.7886817455291748,461967,197,4.965668678283691,5999.854891570001,1000.0
14100,0.03779793158173561,-0.0030783414840698242,-0.32692086696624756,465267,198,4.925473690032959,6167.99691161,1000.0
14200,0.004165573976933956,0.0021822452545166016,-0.7404962182044983,468567,198,4.906062126159668,6351.80631467,1000.0
14300,0.05275467038154602,0.0009767413139343262,-0.3201065957546234,471867,198,4.868961334228516,6504.966356940001,1000.0
14400,0.2639836072921753,0.0006744861602783203,0.22104217112064362,475167,198,4.828962802886963,6683.731034380001,1000.0
14500,236.52145385742188,-0.003583669662475586,0.8664575219154358,478467,198,4.809659004211426,6964.958334350002,1000.0
14600,0.6126115322113037,-0.0018072128295898438,-0.3114578425884247,481767,198,4.777663230895996,7146.697155179998,1000.0
14700,0.362417995929718,-0.00229644775390625,0.15021230280399323,485067,198,4.743654251098633,7335.58855343,1000.0
14800,0.2657315135002136,-0.0033295154571533203,-0.1985466629266739,488367,198,4.724023342132568,7516.736234149999,1000.0
14900,0.0012904820032417774,0.004239082336425781,-0.28071174025535583,491667,198,4.690473556518555,7709.133550070002,1000.0
15000,236.89146423339844,9.709596633911133e-05,0.40061113238334656,494967,198,4.660167694091797,7959.427686569998,1000.0
15100,0.13993927836418152,0.002458035945892334,-0.42896246910095215,498267,198,4.629202365875244,8137.61993903,1000.0
15200,0.21943402290344238,-0.002953648567199707,0.16138723492622375,501567,198,4.599832534790039,8308.05286952,1000.0
15300,0.2097301334142685,-0.0025633573532104492,0.2758512496948242,504867,199,4.573150634765625,8471.065212290001,1000.0
15400,0.3792997896671295,-0.00245058536529541,0.5874384641647339,508167,199,4.548714637756348,8643.66281179,1000.0
15500,240.64620971679688,-0.0060765743255615234,0.4171319305896759,511467,199,4.53073787689209,8912.424364550001,1000.0
15600,0.010264439508318901,-0.01734769344329834,-0.5745266079902649,514767,199,4.492783546447754,9062.56052124,1000.0
15700,0.04748605936765671,-0.0012600421905517578,-0.27379727363586426,518067,199,4.459820747375488,9265.28335193,1000.0
15800,0.7225373983383179,-0.0004564523696899414,-0.21141307055950165,521367,199,4.424968719482422,9444.371750199998,1000.0
15900,0.3712448179721832,-0.007116198539733887,-0.05530070513486862,524667,199,4.391068458557129,9617.0616198,1000.0
16000,232.35382080078125,0.0013565421104431152,-0.09805813431739807,527967,199,4.359486103057861,9877.293409480002,1000.0
16100,0.010795601643621922,0.004323363304138184,-0.1446971744298935,531267,199,4.335302829742432,10072.59045268,1000.0
16200,0.31687113642692566,0.0008645057678222656,0.2346789687871933,534567,199,4.315415382385254,10265.76871289,1000.0
16300,0.05009141564369202,-0.000998377799987793,0.17529349029064178,537867,199,4.292363166809082,10460.27806574,1000.0
16400,0.1134144514799118,0.0057027339935302734,0.2452297806739807,541167,199,4.270476818084717,10643.06639072,1000.0
16500,243.95738220214844,-0.0030726194381713867,-0.6143416166305542,544467,199,4.255492210388184,10932.461937760001,1000.0
16600,1.094440221786499,-0.00034868717193603516,0.299948513507843,547767,199,4.231666564941406,11163.699476369999,1000.0
16700,0.4173102378845215,0.0005068778991699219,0.2752799093723297,551067,199,4.206881046295166,11389.840278790001,1000.0
16800,0.005961885675787926,0.0201072096824646,0.010170891880989075,554367,200,4.17948055267334,11629.819767050001,1000.0
16900,0.002260602079331875,-0.007676959037780762,-0.05147921293973923,557667,200,4.137564182281494,11847.37449089,1000.0
