episodes,n_updates,qf1_loss,policy_loss,time_elapsed,ent_coef_loss,mean 100 episode reward,qf2_loss,entropy,eplenmean,ent_coef,current_lr,ep_rewmean,total timesteps,fps,value_loss
352,350900,1.6382332e-05,-1.8448076,3821,-10.590234,22.1,1.17108775e-05,-1.5989668,1000.0,0.00037449712,0.0003,109555.32426835,351000,91,6.6177854e-06
356,354900,3.8085935e-05,-1.8322396,3864,-2.3261259,22.1,5.2309777e-05,-3.0719132,1000.0,0.00036937403,0.0003,109690.30592745003,355000,91,0.00016864567
360,358900,0.00011095724,-1.7388723,3908,-1.8637569,22.1,3.2320084e-05,-2.4306061,1000.0,0.000620324,0.0003,109437.20064201,359000,91,6.339169e-05
364,362900,6.0660746e-05,-1.7462642,3951,-2.3773165,22.1,4.839592e-05,-1.0430021,1000.0,0.0003935973,0.0003,109393.23395698,363000,91,4.4895045e-05
368,366900,3.102928e-05,-1.7642689,3997,-0.17792696,22.3,2.9686085e-05,-2.269589,1000.0,0.00033442036,0.0003,110111.50802945999,367000,91,1.901948e-05
372,370900,2.5134757e-05,-1.8315343,4043,-6.7882695,22.4,2.2387509e-05,-2.1277194,1000.0,0.0002682217,0.0003,110543.72555399999,371000,91,1.6214723e-05
376,374900,4.7303645e-05,-1.8398905,4088,1.8807266,22.3,4.4672594e-05,-3.0815961,1000.0,0.00019343139,0.0003,109766.85925639,375000,91,1.4622273e-05
380,378900,0.00010488899,-1.8727273,4133,-2.4950671,22.2,5.6675184e-05,-2.0596201,1000.0,0.00016219685,0.0003,109288.3138531,379000,91,5.427743e-05
384,382900,6.251912e-05,-1.8709213,4178,2.23146,22.1,5.8285816e-05,-2.947216,1000.0,0.00022515582,0.0003,108541.32234314,383000,91,6.464016e-05
388,386900,6.1915605e-05,-1.8626413,4221,3.5685804,22.0,0.00011099869,-2.3878164,1000.0,0.00032079653,0.0003,108133.15494054001,387000,91,9.290536e-05
392,390900,0.00011630263,-1.8122092,4266,8.359862,21.9,0.00019300108,-2.0685573,1000.0,0.00032709498,0.0003,107178.92151969999,391000,91,0.0001854749
396,394900,3.0329229e-05,-1.8426942,4310,-3.0927572,21.9,4.827628e-05,-2.5135574,1000.0,0.00036513284,0.0003,107004.40814239,395000,91,2.5555442e-05
400,398900,7.676607e-05,-1.8176845,4354,2.871029,21.9,8.262356e-05,-1.8664734,1000.0,0.00042529998,0.0003,107043.56548818,399000,91,4.179041e-05
404,402900,3.2910764e-05,-1.8182797,4398,5.8372912,22.0,0.00010971023,-1.6566224,1000.0,0.000501047,0.0003,107187.65740465999,403000,91,4.567444e-05
408,406900,6.52084e-05,-1.8100569,4441,9.566957,22.3,3.4289245e-05,-0.75605965,1000.0,0.00042758128,0.0003,108567.25952514,407000,91,4.321141e-05
412,410900,5.281331e-05,-1.8413075,4485,-6.4985304,22.3,8.4483036e-05,-0.74867815,1000.0,0.00037298855,0.0003,108531.71967546002,411000,91,0.00025705184
416,414900,1.1833268e-05,-1.865413,4529,-1.4275076,22.4,3.0703406e-05,-0.7411929,1000.0,0.00033808514,0.0003,108951.42292485,415000,91,9.230669e-06
420,418900,0.00014800635,-1.8678064,4574,2.6046746,22.4,0.00012164077,-1.3080218,1000.0,0.0003967543,0.0003,108707.03380897996,419000,91,5.7365007e-05
424,422900,0.00015549325,-1.8540016,4618,-0.2292403,22.6,0.00015037534,-0.85379016,1000.0,0.00046364535,0.0003,109396.8374249,423000,91,0.000100893274
428,426900,3.8913713e-05,-1.8224313,4662,19.245098,22.5,4.914895e-05,-1.0200644,1000.0,0.00033652823,0.0003,109078.37765859999,427000,91,4.544168e-05
432,430900,0.024949513,-1.8153912,4706,1.120054,22.4,0.02529852,-1.726857,1000.0,0.0003227171,0.0003,108292.17509156,431000,91,2.2098891e-05
436,434900,3.061115e-05,-1.8329289,4749,-5.1757913,22.4,3.2751515e-05,-1.3074011,1000.0,0.0002676031,0.0003,108291.61115914998,435000,91,4.7930942e-05
440,438900,1.3516868e-05,-1.8710978,4794,6.115741,22.5,1.3852827e-05,-1.9224322,1000.0,0.00016838594,0.0003,108282.95106289997,439000,91,2.3798886e-05
444,442900,8.331048e-05,-1.8645598,4838,9.945845,22.4,0.00017750697,-5.185596,1000.0,0.00023442484,0.0003,107734.08263751998,443000,91,7.159934e-05
448,446900,4.3868582e-05,-1.8757608,4881,-9.579061,22.0,4.4997883e-05,-2.1337152,1000.0,0.0004160456,0.0003,105868.81246309001,447000,91,9.7272525e-05
452,450900,0.02674417,-1.8298088,4926,-0.7626454,21.9,0.026757007,-1.7756565,1000.0,0.0004081554,0.0003,105146.21692115,451000,91,8.4616186e-05
456,454900,0.00010951145,-1.8049011,4969,13.13889,21.5,0.00022875136,-2.5783563,1000.0,0.0005020821,0.0003,102882.96709104,455000,91,0.00016379758
460,458900,8.1069345e-05,-1.7427819,5014,-5.7333274,21.3,0.00012970767,-1.1844342,1000.0,0.00056256034,0.0003,101863.68563266,459000,91,5.0815863e-05
464,462900,0.00012129148,-1.7000532,5057,3.0035834,21.2,0.00012044917,-1.6166823,1000.0,0.00080323865,0.0003,101432.07401872,463000,91,0.00018373963
468,466900,0.00011260253,-1.5839076,5100,-6.367578,21.2,0.00010016472,-0.43049693,1000.0,0.0010715263,0.0003,101004.68377905998,467000,91,0.00027265647
472,470900,8.342313e-05,-1.5576458,5143,0.3962245,21.2,0.00015948845,-0.71673906,1000.0,0.00087648636,0.0003,100973.14837099999,471000,91,0.00011591945
476,474900,4.558786e-05,-1.5683306,5186,6.5549407,21.5,9.567629e-05,-1.3004872,1000.0,0.0008200718,0.0003,101949.14620688,475000,91,7.023374e-05
480,478900,0.00010299187,-1.6085441,5229,-2.9651458,21.6,8.491374e-05,-2.5814176,1000.0,0.0007784213,0.0003,102268.84251606998,479000,91,5.3567055e-05
484,482900,0.020917052,-1.6082029,5272,-2.1670027,21.8,0.020947536,-1.9272165,1000.0,0.00075595145,0.0003,103360.57981129002,483000,91,0.00014408915
488,486900,4.4990487e-05,-1.6197909,5316,-1.4102435,22.0,6.492895e-05,-1.8274157,1000.0,0.0006409451,0.0003,104135.27036102001,487000,91,2.8804494e-05
492,490900,5.5438148e-05,-1.6574465,5361,3.7582154,22.4,8.357804e-05,-1.7815658,1000.0,0.0005394893,0.0003,105516.53122714002,491000,91,4.5219058e-05
496,494900,7.352015e-05,-1.7527072,5407,1.6488773,22.5,8.6105676e-05,-2.6104503,1000.0,0.0003989135,0.0003,105866.33417598,495000,91,4.9181304e-05
500,498900,7.407446e-05,-1.8503863,5453,3.9379687,22.5,7.392815e-05,-2.914448,1000.0,0.00034371196,0.0003,106006.19733179,499000,91,4.6490142e-05
