fps,nupdates,policy_entropy,explained_variance,total_timesteps,value_loss,ep_reward_mean,ep_len_mean
284,57300,21.134963989257812,0.9237927943468094,1146000,86.69471740722656,7829.884343859998,1000.0
283,57400,21.131807327270508,-93.14769744873047,1148000,579443.25,7991.965746779998,1000.0
284,57500,21.136919021606445,-0.7143344879150391,1150000,90.79820251464844,7991.965746779998,1000.0
284,57600,21.180662155151367,-18.112201690673828,1152000,1333.9910888671875,7993.843543399999,1000.0
284,57700,21.219064712524414,-0.32689177989959717,1154000,1.9653323888778687,7993.843543399999,1000.0
284,57800,21.291919708251953,-16910255.0,1156000,1175.4874267578125,7798.917253039999,1000.0
284,57900,21.29962921142578,0.6031247079372406,1158000,0.12364561855792999,7798.917253039999,1000.0
284,58000,21.35650062561035,-24355.857421875,1160000,36.6069221496582,7580.3490676,1000.0
284,58100,21.43573760986328,0.6677170693874359,1162000,0.025079239159822464,7580.3490676,1000.0
283,58200,21.514982223510742,-8959.0966796875,1164000,0.5105636715888977,7297.790395150001,1000.0
284,58300,21.540620803833008,0.9767934083938599,1166000,0.03567718341946602,7297.790395150001,1000.0
283,58400,21.62099838256836,-609784.5,1168000,3.36537504196167,6956.4443262800005,1000.0
284,58500,21.796295166015625,-13.603517532348633,1170000,0.0017380168428644538,6956.4443262800005,1000.0
283,58600,21.961650848388672,-20049.982421875,1172000,0.14302419126033783,6657.194863099999,1000.0
284,58700,21.96639060974121,0.12318897247314453,1174000,0.12280113995075226,6657.194863099999,1000.0
283,58800,22.06644058227539,-144158.5,1176000,2.768507242202759,6312.8577365500005,1000.0
284,58900,22.15321159362793,-8.122102737426758,1178000,122.67585754394531,6312.8577365500005,1000.0
283,59000,22.2320556640625,-32031.974609375,1180000,0.5803928375244141,6007.274760789999,1000.0
284,59100,22.281084060668945,-0.13239920139312744,1182000,5.486886024475098,6007.274760789999,1000.0
283,59200,22.291128158569336,-958541.6875,1184000,14.518841743469238,5649.2992071,1000.0
284,59300,22.306175231933594,0.05777233839035034,1186000,9.548521041870117,5649.2992071,1000.0
283,59400,22.323328018188477,-354553.25,1188000,287.7947692871094,5357.635841429999,1000.0
284,59500,22.31400489807129,0.6769354939460754,1190000,0.87305748462677,5357.635841429999,1000.0
283,59600,22.326446533203125,-18.389545440673828,1192000,4484.43017578125,5056.1151301,1000.0
284,59700,22.324609756469727,0.28533250093460083,1194000,78.27388000488281,5056.1151301,1000.0
283,59800,22.329504013061523,-113225.453125,1196000,742.7492065429688,4751.25437558,1000.0
284,59900,22.317977905273438,0.3071178197860718,1198000,425.8408203125,4751.25437558,1000.0
283,60000,22.296743392944336,-7.473265647888184,1200000,502.9359436035156,4417.70613748,1000.0
284,60100,22.303382873535156,-0.42729246616363525,1202000,156.43399047851562,4417.70613748,1000.0
283,60200,22.31468391418457,-36.42934036254883,1204000,1454.962646484375,4138.7482177,1000.0
