total_timesteps,policy_entropy,fps,value_loss,nupdates,explained_variance,ep_len_mean,ep_reward_mean
379500,22.85646629333496,295,0.0026646412443369627,25300,-0.06486916542053223,1000.0,542.4360117900001
381000,23.102283477783203,295,3782.9345703125,25400,-0.01670992374420166,1000.0,549.76541695
382500,23.279264450073242,296,0.002171963918954134,25500,-1.1853928565979004,1000.0,549.76541695
384000,23.550731658935547,295,3826.052001953125,25600,0.01743704080581665,1000.0,555.0309746400002
385500,23.721208572387695,296,0.003100415226072073,25700,0.08689481019973755,1000.0,555.0309746400002
387000,23.976606369018555,295,3867.581787109375,25800,-0.0022301673889160156,1000.0,561.4957295300001
388500,24.18357276916504,296,0.010106821544468403,25900,-0.3382148742675781,1000.0,561.4957295300001
390000,24.416990280151367,295,3845.190673828125,26000,0.009103834629058838,1000.0,569.77742151
391500,24.583650588989258,296,0.0026955429930239916,26100,0.06500184535980225,1000.0,569.77742151
393000,24.818836212158203,295,3799.643310546875,26200,0.005695700645446777,1000.0,575.17061804
394500,24.988725662231445,296,0.0006753256893716753,26300,-0.12884438037872314,1000.0,575.17061804
396000,25.14013671875,295,3837.463623046875,26400,-0.005229353904724121,1000.0,578.9456984000001
397500,25.179643630981445,296,0.0033967485651373863,26500,-0.046311140060424805,1000.0,578.9456984000001
399000,25.368473052978516,295,3787.8662109375,26600,-0.0007560253143310547,1000.0,583.25236269
400500,25.521434783935547,296,0.08267785608768463,26700,0.10701727867126465,1000.0,583.25236269
402000,25.692228317260742,295,3854.113037109375,26800,0.016653776168823242,1000.0,584.9551533399999
403500,25.760868072509766,296,0.012922574765980244,26900,-18.62455940246582,1000.0,584.9551533399999
405000,25.951719284057617,295,147.07174682617188,27000,-0.002701282501220703,1000.0,574.28845043
406500,26.201154708862305,296,0.003553446615114808,27100,0.46222639083862305,1000.0,574.28845043
408000,26.48752784729004,295,156.05552673339844,27200,-0.2139061689376831,1000.0,561.0737056
409500,26.715105056762695,296,0.015008220449090004,27300,0.1349831223487854,1000.0,561.0737056
411000,26.728271484375,295,2735.2060546875,27400,-1.0277738571166992,1000.0,554.1646346099999
412500,26.731828689575195,296,1.0361469984054565,27500,-0.8267546892166138,1000.0,554.1646346099999
414000,26.77277183532715,295,1425.4464111328125,27600,0.033078670501708984,1000.0,545.07611718
415500,26.803335189819336,296,0.047659147530794144,27700,-0.5430524349212646,1000.0,545.07611718
417000,26.816625595092773,295,3741.363037109375,27800,0.03182429075241089,1000.0,543.5866177400001
418500,26.905635833740234,296,0.13816829025745392,27900,-6.676025390625,1000.0,543.5866177400001
420000,27.006839752197266,295,3061.752197265625,28000,-0.12340474128723145,1000.0,543.53774742
421500,27.124757766723633,296,0.059249281883239746,28100,0.2411152720451355,1000.0,543.53774742
423000,27.30364990234375,295,3750.658447265625,28200,-0.0007224082946777344,1000.0,541.01192631
