nupdates,policy_entropy,fps,total_timesteps,value_loss,explained_variance,ep_len_mean,ep_reward_mean
20000,24.195890426635742,289,700000,26844.423828125,-0.00019848346710205078,1000.0,1652.2906912799997
20100,24.23174285888672,289,703500,0.018794121220707893,0.03851878643035889,1000.0,1652.2906912799997
20200,24.36205291748047,289,707000,26792.34765625,0.0004100203514099121,1000.0,1652.5614629799998
20300,24.415498733520508,290,710500,0.0036296325270086527,0.11216217279434204,1000.0,1652.5614629799998
20400,24.529338836669922,290,714000,26636.021484375,-0.0028657913208007812,1000.0,1653.1693755599997
20500,24.615055084228516,290,717500,0.08394352346658707,-0.0019371509552001953,1000.0,1653.1693755599997
20600,24.70522689819336,290,721000,26649.63671875,-0.0019034147262573242,1000.0,1653.4631152500003
20700,24.77396583557129,290,724500,0.025214379653334618,0.014579951763153076,1000.0,1653.4631152500003
20800,24.84859275817871,290,728000,26589.33203125,-0.007619142532348633,1000.0,1652.9613760300003
20900,24.917295455932617,291,731500,0.008778896182775497,-0.1645272970199585,1000.0,1652.9613760300003
21000,25.044265747070312,290,735000,26607.46875,0.0008496642112731934,1000.0,1652.75115353
21100,25.091100692749023,291,738500,0.023691745474934578,-0.03975796699523926,1000.0,1652.75115353
21200,25.212116241455078,291,742000,26724.3515625,0.0014823675155639648,1000.0,1652.9185423500003
21300,25.30069351196289,291,745500,0.07118761539459229,-0.021382570266723633,1000.0,1652.9185423500003
21400,25.362857818603516,291,749000,26343.66796875,0.0003145933151245117,1000.0,1653.08408581
21500,25.417259216308594,291,752500,0.004046384710818529,0.039033591747283936,1000.0,1653.08408581
21600,25.492530822753906,291,756000,26735.681640625,-0.001645207405090332,1000.0,1652.7213081199998
21700,25.578956604003906,292,759500,0.01422099769115448,0.006222784519195557,1000.0,1652.7213081199998
21800,25.64883804321289,291,763000,26707.830078125,0.00024962425231933594,1000.0,1652.7594822300002
21900,25.694881439208984,292,766500,0.008171583525836468,-0.09632086753845215,1000.0,1652.7594822300002
22000,25.804147720336914,292,770000,26812.876953125,0.0008110404014587402,1000.0,1652.61572526
22100,25.848276138305664,292,773500,0.026465129107236862,0.014562606811523438,1000.0,1652.61572526
22200,25.92726707458496,292,777000,26705.564453125,-0.00032651424407958984,1000.0,1652.3081283000001
22300,26.00375747680664,292,780500,0.012660789303481579,-0.09509170055389404,1000.0,1652.3081283000001
22400,26.099205017089844,292,784000,26854.9140625,0.0009624958038330078,1000.0,1651.46999343
22500,26.133188247680664,292,787500,0.006424151826649904,-0.006464242935180664,1000.0,1651.46999343
22600,26.231182098388672,292,791000,26769.75,-0.00022590160369873047,1000.0,1651.6955246
22700,26.311843872070312,293,794500,0.021594176068902016,0.048455655574798584,1000.0,1651.6955246
22800,26.376007080078125,292,798000,26506.591796875,-0.004733443260192871,1000.0,1651.6659918900002
22900,26.4739933013916,293,801500,0.005319390911608934,-0.05381584167480469,1000.0,1651.6659918900002
23000,26.598005294799805,293,805000,26822.671875,-0.002964496612548828,1000.0,1652.1959166200004
23100,26.683456420898438,293,808500,0.009736298583447933,0.0192568302154541,1000.0,1652.1959166200004
23200,26.75334930419922,293,812000,26674.94921875,-0.005591273307800293,1000.0,1652.4601945799996
23300,26.825984954833984,293,815500,0.012958154082298279,0.04620099067687988,1000.0,1652.4601945799996
23400,26.922927856445312,293,819000,26589.56640625,0.0006492137908935547,1000.0,1652.5770683699998
23500,27.011144638061523,293,822500,0.039119452238082886,-0.004560589790344238,1000.0,1652.5770683699998
23600,27.087900161743164,293,826000,26746.458984375,-0.0033277273178100586,1000.0,1652.9336466
23700,27.157283782958984,294,829500,0.0076858606189489365,-0.0910181999206543,1000.0,1652.9336466
23800,27.258329391479492,293,833000,26595.818359375,-0.001832127571105957,1000.0,1652.9598368
23900,27.285694122314453,294,836500,0.11688762158155441,0.013008356094360352,1000.0,1652.9598368
24000,27.3718318939209,294,840000,26631.087890625,-0.0007489919662475586,1000.0,1652.2684303300002
24100,27.448205947875977,294,843500,0.00555769819766283,-0.008112192153930664,1000.0,1652.2684303300002
24200,27.555118560791016,294,847000,26658.87109375,-0.0005027055740356445,1000.0,1652.24284422
24300,27.57598304748535,294,850500,0.04754110798239708,0.054593682289123535,1000.0,1652.24284422
24400,27.64655303955078,294,854000,26652.552734375,-0.0024116039276123047,1000.0,1651.91030567
24500,27.72414779663086,294,857500,0.014202562160789967,0.06901687383651733,1000.0,1651.91030567
24600,27.83730697631836,294,861000,26652.00390625,-0.0004737377166748047,1000.0,1652.15467134
24700,27.8880615234375,294,864500,0.009492140263319016,-0.00025916099548339844,1000.0,1652.15467134
24800,27.955537796020508,294,868000,26416.2265625,-0.0008389949798583984,1000.0,1651.6209575300004
24900,28.038925170898438,295,871500,0.02522251009941101,-0.014688968658447266,1000.0,1651.6209575300004
25000,28.0979061126709,294,875000,26610.28515625,-0.001447439193725586,1000.0,1651.8974643300005
25100,28.1724853515625,295,878500,0.008539796806871891,0.054617226123809814,1000.0,1651.8974643300005
25200,28.220252990722656,295,882000,26671.482421875,0.003785431385040283,1000.0,1652.26683005
