nupdates,value_loss,fps,policy_loss,policy_entropy,explained_variance,total_timesteps,ep_reward_mean,ep_len_mean
7000,0.0008483625133521855,110,-0.10668662190437317,3.5724854469299316,0.9027874991297722,566919,13442.543710749998,1001.0
7100,0.0010194912320002913,110,0.0017486996948719025,3.559264659881592,0.861274778842926,575019,13462.326629919997,1001.0
7200,0.00015712843742221594,110,-0.18553531169891357,3.540968418121338,0.9553746953606606,583119,13467.972089890001,1001.0
7300,0.0003583958023227751,110,-0.1440020054578781,3.510354518890381,0.9511100463569164,591219,13440.092695169998,1001.0
7400,0.00048386360867880285,110,-0.02895655669271946,3.5372185707092285,0.9200615137815475,599319,13442.13216243,1001.0
7500,0.002193048130720854,110,-0.1777978539466858,3.5478148460388184,0.2633834481239319,607419,13447.945183819998,1001.0
7600,0.0005215487326495349,110,0.007577903568744659,3.5278172492980957,0.8832771107554436,615519,13450.73585612,1001.0
7700,0.00024832889903336763,110,0.10981178283691406,3.5262837409973145,0.9347329065203667,623619,13470.009893049999,1001.0
7800,0.00045464266440831125,110,-0.051398053765296936,3.534471035003662,0.9518948867917061,631719,13477.037921149999,1001.0
7900,0.000474829925224185,110,-0.11295896768569946,3.4939398765563965,0.8806623443961143,639819,13499.413045980002,1001.0
8000,0.00031274481443688273,110,0.018809162080287933,3.5037503242492676,-0.49673688411712646,647919,13484.09823683,1001.0
8100,0.00012345104187261313,110,-0.010053124278783798,3.518897533416748,0.9100482389330864,656019,13464.095338980002,1001.0
8200,0.00043274470954202116,110,-0.16944390535354614,3.513017177581787,0.9379086084663868,664119,13468.785684329998,1001.0
8300,0.0003023248282261193,110,0.07030368596315384,3.4979262351989746,0.8516495674848557,672219,13450.9392749,1001.0
8400,0.00027981732273474336,110,-0.04512805491685867,3.4790940284729004,0.7287901043891907,680319,13427.50788763,1001.0
8500,0.0005284897633828223,110,-0.07801631093025208,3.482776165008545,0.7263073623180389,688419,13384.117504309997,1001.0
8600,0.000867389899212867,110,0.048879265785217285,3.524740219116211,0.722945898771286,696519,13377.869408740004,1001.0
8700,0.0007209317409433424,110,0.09002069383859634,3.538780689239502,0.5430848300457001,704619,13362.326116419998,1001.0
8800,0.0005630936939269304,110,-0.05155906081199646,3.550036907196045,-0.5671812295913696,712719,13349.044797519997,1001.0
8900,0.00048621586756780744,110,-0.20486214756965637,3.5572361946105957,0.5080233216285706,720819,13342.52231187,1001.0
9000,0.000989043153822422,110,-0.08297473937273026,3.5468573570251465,-1.3309881687164307,728919,13336.917842329998,1001.0
9100,0.0006440075230784714,110,-0.12425266206264496,3.534585475921631,-0.9521181583404541,737019,13338.645046960002,1001.0
9200,0.0002958106342703104,110,0.301483154296875,3.534000873565674,0.6093853712081909,745119,13339.40346131,1001.0
9300,0.0007288395427167416,110,-0.0290831271559,3.5288543701171875,0.741633802652359,753219,13333.901286759998,1001.0
9400,0.000468090467620641,110,-0.45943376421928406,3.53810453414917,0.6430217325687408,761319,13360.684470539998,1001.0
9500,0.0007696984685026109,110,-0.022430837154388428,3.5595993995666504,0.827121302485466,769419,13364.118953749998,1001.0
9600,0.0013829348608851433,110,-0.12649378180503845,3.535947322845459,-0.46932125091552734,777519,13381.903454100004,1001.0
9700,0.0006661664228886366,110,-0.015514932572841644,3.5411219596862793,0.6697085201740265,785619,13399.164265469999,1001.0
9800,0.0004627034068107605,110,-0.24973779916763306,3.5449371337890625,0.6303147971630096,793719,13442.865554080001,1001.0
9900,0.0003644143871497363,110,-0.06241658702492714,3.5519204139709473,-0.09958314895629883,801819,13465.362490590003,1001.0
10000,0.0007331998785957694,110,0.2697993218898773,3.566760540008545,-0.1153707504272461,809919,13495.933366230001,1001.0
10100,0.0008562925504520535,110,0.12326626479625702,3.597835063934326,-0.2887084484100342,818019,13525.223102619999,1001.0
10200,0.0006512505351565778,110,-0.0637444481253624,3.5532259941101074,-1.2320082187652588,826119,13541.252788379998,1001.0
10300,0.0006760925753042102,110,-0.04190085455775261,3.5606484413146973,-0.8446924686431885,834219,13547.875212549998,1001.0
10400,0.000347802706528455,110,0.07106591016054153,3.611232280731201,0.7518945336341858,842319,13544.362615319998,1001.0
10500,0.0006533494452014565,110,-0.06829138100147247,3.637662172317505,0.8223058730363846,850419,13556.23443808,1001.0
10600,0.0002927298191934824,110,-0.1297222226858139,3.6166577339172363,0.17770087718963623,858519,13559.985447380002,1001.0
10700,0.0007226035813800991,110,-0.13173310458660126,3.6351370811462402,-0.30889737606048584,866619,13551.855114139998,1001.0
10800,0.0010941686341539025,110,0.14293789863586426,3.622870922088623,0.5030744969844818,874719,13560.902043319998,1001.0
10900,0.000328461843309924,110,-0.04326101765036583,3.634072780609131,0.8914554789662361,882819,13568.7427801,1001.0
11000,0.0017448256257921457,110,0.1744709461927414,3.6153674125671387,-0.04302573204040527,890919,13565.09014053,1001.0
11100,0.0008888676529750228,110,-0.27675822377204895,3.6368191242218018,0.8047611117362976,899019,13575.397796820002,1001.0
11200,0.0014147034380584955,110,0.03286360949277878,3.6278271675109863,0.22704726457595825,907119,13587.680316050002,1001.0
11300,0.0003229514404665679,109,-0.1568647176027298,3.622880220413208,0.8776172623038292,915219,13599.253420230003,1001.0
11400,0.0007480018539354205,109,-0.07201465964317322,3.6149754524230957,0.4304831624031067,923319,13596.38765686,1001.0
11500,0.0011929620523005724,109,-0.005153879523277283,3.6309657096862793,0.43348437547683716,931419,13610.919171330004,1001.0
11600,0.0002010030730161816,109,0.013692796230316162,3.630990505218506,0.8548395484685898,939519,13621.45306708,1001.0
11700,0.0014507932355627418,110,-0.19848282635211945,3.6276397705078125,0.3070605397224426,947619,13627.71694204,1001.0
11800,0.0018371794139966369,109,-0.1321745067834854,3.636401653289795,0.41259342432022095,955719,13642.304633400001,1001.0
11900,0.0005719600012525916,110,0.023234792053699493,3.6522107124328613,0.9099358469247818,963819,13671.018024259998,1001.0
12000,0.001529516070149839,110,-0.07963298261165619,3.656790256500244,0.2905116677284241,971919,13690.901122260002,1001.0
12100,0.0010232125641778111,110,-0.10844245553016663,3.65330171585083,0.10769695043563843,980019,13693.28012889,1001.0
12200,0.0008490132167935371,110,0.0948268324136734,3.6452441215515137,0.11308997869491577,988119,13715.308842090002,1001.0
12300,0.0007801206666044891,110,-0.22455814480781555,3.6449780464172363,-0.05237734317779541,996219,13722.280060920002,1001.0
12400,0.0007265330059453845,110,0.15694352984428406,3.6458754539489746,0.33986419439315796,1004319,13745.00745041,1001.0
12500,0.0017100212862715125,110,-0.163302943110466,3.646422863006592,-0.10932660102844238,1012419,13735.95792316,1001.0
