total_timesteps,explained_variance,fps,value_loss,nupdates,policy_loss,policy_entropy,ep_len_mean,ep_reward_mean
1339359,0.11108976602554321,213,5241.8955078125,9500,0.12913653254508972,12.149295806884766,1000.0,3523.6745850499997
1353459,0.20149070024490356,213,4170.4892578125,9600,-0.12447289377450943,12.153563499450684,1000.0,3819.02473505
1367559,-4.112720489501953e-05,214,4695.921875,9700,-0.3507026731967926,12.152558326721191,1000.0,4239.79542634
1381659,-9.85860824584961e-05,214,4451.16552734375,9800,-0.07750362157821655,12.155985832214355,1000.0,4633.5440645
1395759,0.27729088068008423,214,4091.050537109375,9900,-0.14552676677703857,12.161832809448242,1000.0,4901.92869445
1409859,0.24539291858673096,215,5677.0556640625,10000,-0.05805511772632599,12.166606903076172,1000.0,5292.392174249999
1423959,5.441904067993164e-05,215,5242.4189453125,10100,-0.26186251640319824,12.17017650604248,1000.0,5638.02982745
1438059,2.2351741790771484e-05,216,6202.2421875,10200,-0.0710529237985611,12.175416946411133,1000.0,5825.598257599999
1452159,-5.1021575927734375e-05,216,5714.22119140625,10300,-0.22349052131175995,12.180949211120605,1000.0,6084.36079116
1466259,-7.176399230957031e-05,217,5889.29931640625,10400,-0.12346764653921127,12.185343742370605,1000.0,6200.3769984
1480359,0.27247685194015503,217,5338.5654296875,10500,-0.20703241229057312,12.190779685974121,1000.0,6209.07756985
1494459,-5.3763389587402344e-05,218,7036.17578125,10600,-0.11948452889919281,12.192549705505371,1000.0,6340.21263455
1508559,0.20535606145858765,218,5984.33740234375,10700,-0.21553300321102142,12.195744514465332,1000.0,6403.631291139999
1522659,0.20130616426467896,219,6110.1416015625,10800,-0.1745494306087494,12.195085525512695,1000.0,6465.293924890001
1536759,-4.7326087951660156e-05,219,7228.49658203125,10900,0.07409940659999847,12.198366165161133,1000.0,6445.13880879
1550859,3.737211227416992e-05,220,7611.76953125,11000,-0.26295793056488037,12.202757835388184,1000.0,6451.987236130001
1564959,0.16781938076019287,220,6709.919921875,11100,-0.24991649389266968,12.208632469177246,1000.0,6328.8930175
1579059,-4.7087669372558594e-05,220,8755.9970703125,11200,-0.18053746223449707,12.20989990234375,1000.0,6265.36727046
1593159,0.11657309532165527,221,7779.6884765625,11300,-0.08462202548980713,12.213074684143066,1000.0,6344.85155033
1607259,0.18282335996627808,221,6812.54931640625,11400,-0.07898732274770737,12.215245246887207,1000.0,6299.047722479999
1621359,1.2636184692382812e-05,222,9877.5126953125,11500,-0.22795474529266357,12.217788696289062,1000.0,6444.363536550001
1635459,-1.9073486328125e-05,222,10162.8515625,11600,0.1680210530757904,12.218647956848145,1000.0,6400.558778990001
1649559,0.18755275011062622,222,7416.1513671875,11700,-0.05767536163330078,12.219115257263184,1000.0,6251.9300208
1663659,-9.298324584960938e-06,223,10821.4501953125,11800,-0.17278838157653809,12.224974632263184,1000.0,6324.131591949999
1677759,0.0,223,11150.6865234375,11900,-0.12551560997962952,12.230315208435059,1000.0,6482.703426520002
1691859,-1.6450881958007812e-05,223,11301.05078125,12000,-0.09157751500606537,12.232893943786621,1000.0,6443.6605862100005
1705959,-1.5854835510253906e-05,224,11460.9736328125,12100,0.08487514406442642,12.238236427307129,1000.0,6549.869309990002
1720059,-2.384185791015625e-05,224,11686.0517578125,12200,-0.09591296315193176,12.24140453338623,1000.0,6461.87420527
1734159,-3.2186508178710938e-06,225,12445.1865234375,12300,0.14738091826438904,12.247267723083496,1000.0,6452.027946889999
1748259,0.023473083972930908,225,11381.7578125,12400,-0.09903644025325775,12.250685691833496,1000.0,6619.1096985
1762359,1.9848346710205078e-05,225,13498.6162109375,12500,-0.10426273196935654,12.256129264831543,1000.0,6754.593065340001
1776459,-0.1371910572052002,226,12256.8740234375,12600,-0.17231310904026031,12.259995460510254,1000.0,6588.068257980001
1790559,-1.3232231140136719e-05,226,13776.333984375,12700,-0.07538431882858276,12.262683868408203,1000.0,6663.49546506
1804659,-1.1920928955078125e-06,226,14247.02734375,12800,-0.3001844882965088,12.267268180847168,1000.0,6747.91086578
1818759,-1.3589859008789062e-05,227,14935.306640625,12900,-0.14172622561454773,12.270222663879395,1000.0,6877.21672463
1832859,3.4570693969726562e-06,227,15446.94140625,13000,-0.28040775656700134,12.276280403137207,1000.0,7018.13459962
1846959,-6.4373016357421875e-06,228,15384.7353515625,13100,-0.1416560560464859,12.279667854309082,1000.0,7015.57216412
1861059,-0.272952675819397,228,11823.6787109375,13200,0.0025884583592414856,12.286417961120605,1000.0,6901.59537867
1875159,-0.2784045934677124,228,11949.8974609375,13300,0.09855716675519943,12.29155445098877,1000.0,6932.98395763
1889259,-0.2503695487976074,228,12006.0791015625,13400,-0.17280346155166626,12.294877052307129,1000.0,6736.21574768
1903359,-2.384185791015625e-06,228,17292.69921875,13500,0.0780339390039444,12.300856590270996,1000.0,6620.496592109999
1917459,-0.23545455932617188,229,15188.0927734375,13600,-0.329056054353714,12.305455207824707,1000.0,6586.142855849998
1931559,1.5497207641601562e-06,229,18446.80078125,13700,-0.15415948629379272,12.309269905090332,1000.0,6579.282021140001
1945659,1.1920928955078125e-07,229,18922.46875,13800,-0.3549480736255646,12.311015129089355,1000.0,6565.259919420001
1959759,-5.7220458984375e-06,230,18899.892578125,13900,-0.15468065440654755,12.316706657409668,1000.0,6689.09365186
1973859,-0.2609901428222656,230,16754.759765625,14000,-0.12860557436943054,12.321518898010254,1000.0,6783.686963689999
1987959,-0.32888662815093994,230,17495.533203125,14100,-0.26214659214019775,12.325495719909668,1000.0,6886.44385062
2002059,-1.5616416931152344e-05,231,20791.240234375,14200,-0.26952463388442993,12.330135345458984,1000.0,7009.738016369999
