value_loss,nupdates,policy_entropy,total_timesteps,fps,explained_variance,ep_len_mean,ep_reward_mean
33054.67578125,6400,8.941335678100586,224000,278,-3.2186508178710938e-06,1000.0,14218.52265139
13006.890625,6500,8.949605941772461,227500,279,1.2516975402832031e-06,1000.0,14218.52265139
32266.771484375,6600,8.95974063873291,231000,277,-2.86102294921875e-06,1000.0,15182.819253200001
15918.7978515625,6700,8.945598602294922,234500,278,-2.9802322387695312e-06,1000.0,15182.819253200001
42730.2265625,6800,8.93045711517334,238000,276,-1.3113021850585938e-06,1000.0,16361.801338219999
31423.4609375,6900,8.898429870605469,241500,277,-4.649162292480469e-06,1000.0,16361.801338219999
27616.15234375,7000,8.883792877197266,245000,276,-9.5367431640625e-07,1000.0,17575.087703699995
27213.259765625,7100,8.875012397766113,248500,276,-6.556510925292969e-06,1000.0,17575.087703699995
44348.015625,7200,8.878168106079102,252000,275,-1.9073486328125e-06,1000.0,19197.43442785
35407.80078125,7300,8.889183044433594,255500,275,-5.960464477539062e-07,1000.0,19197.43442785
43745.55859375,7400,8.867725372314453,259000,275,0.0,1000.0,20537.73892173
6507.06884765625,7500,8.851551055908203,262500,275,-9.5367431640625e-07,1000.0,20537.73892173
36501.2421875,7600,8.805952072143555,266000,274,-1.430511474609375e-06,1000.0,22233.783690269993
40066.41796875,7700,8.787633895874023,269500,275,1.3709068298339844e-06,1000.0,22233.783690269993
35153.5078125,7800,8.75013542175293,273000,273,4.76837158203125e-07,1000.0,23797.964303470002
26353.724609375,7900,8.749433517456055,276500,274,7.748603820800781e-07,1000.0,23797.964303470002
70518.171875,8000,8.73127555847168,280000,273,-2.6226043701171875e-06,1000.0,24888.36825804
1630.7940673828125,8100,8.694755554199219,283500,274,4.76837158203125e-06,1000.0,24888.36825804
66798.2421875,8200,8.687952041625977,287000,273,1.138448715209961e-05,1000.0,25571.54016885
23839.326171875,8300,8.656664848327637,290500,274,-1.1920928955078125e-07,1000.0,25571.54016885
46184.5390625,8400,8.6365385055542,294000,274,5.364418029785156e-07,1000.0,27043.540761260003
25094.0234375,8500,8.606653213500977,297500,275,-1.5497207641601562e-06,1000.0,27043.540761260003
59344.1875,8600,8.574898719787598,301000,274,1.4901161193847656e-06,1000.0,28572.789259019995
20123.40625,8700,8.522648811340332,304500,275,1.1920928955078125e-07,1000.0,28572.789259019995
100058.8046875,8800,8.488262176513672,308000,275,-6.198883056640625e-06,1000.0,30118.234407019998
42743.2890625,8900,8.412375450134277,311500,276,7.748603820800781e-07,1000.0,30118.234407019998
62484.7578125,9000,8.357613563537598,315000,275,-7.152557373046875e-07,1000.0,31604.740767560004
33271.08203125,9100,8.338542938232422,318500,276,-1.1920928955078125e-06,1000.0,31604.740767560004
45533.46875,9200,8.30746078491211,322000,275,2.384185791015625e-07,1000.0,32741.306771269996
70574.1171875,9300,8.289416313171387,325500,276,5.960464477539062e-07,1000.0,32741.306771269996
54908.3515625,9400,8.255407333374023,329000,275,-1.1920928955078125e-07,1000.0,34422.871928600005
65395.71484375,9500,8.233384132385254,332500,276,2.5033950805664062e-06,1000.0,34422.871928600005
101994.6484375,9600,8.204151153564453,336000,276,-8.344650268554688e-06,1000.0,35418.11735243
356.7701110839844,9700,8.19719409942627,339500,277,0.0002949237823486328,1000.0,35418.11735243
70026.7890625,9800,8.181077003479004,343000,276,6.556510925292969e-07,1000.0,35552.25600122
3859.45703125,9900,8.13451862335205,346500,277,-9.5367431640625e-07,1000.0,35552.25600122
58464.828125,10000,8.109007835388184,350000,276,5.185604095458984e-06,1000.0,36259.36682171
44307.71484375,10100,8.09095573425293,353500,277,-1.5497207641601562e-06,1000.0,36259.36682171
117988.453125,10200,8.072991371154785,357000,277,-8.106231689453125e-06,1000.0,37879.974884430005
71116.9453125,10300,8.017276763916016,360500,277,0.0,1000.0,37879.974884430005
94502.2578125,10400,7.952683925628662,364000,277,8.344650268554688e-07,1000.0,38784.82226712
54890.2578125,10500,7.956757545471191,367500,277,1.1920928955078125e-06,1000.0,38784.82226712
142814.75,10600,7.927956581115723,371000,277,1.1920928955078125e-07,1000.0,39503.30767149
28102.279296875,10700,7.912041187286377,374500,277,-2.384185791015625e-07,1000.0,39503.30767149
44246.10546875,10800,7.870568752288818,378000,277,4.76837158203125e-07,1000.0,41037.4774456
37699.37890625,10900,7.832115650177002,381500,278,8.344650268554688e-07,1000.0,41037.4774456
53251.1796875,11000,7.807834148406982,385000,277,0.0,1000.0,43250.86346558
29137.630859375,11100,7.783918857574463,388500,278,0.0,1000.0,43250.86346558
146548.859375,11200,7.752908706665039,392000,277,1.4603137969970703e-05,1000.0,44103.48662746
62922.6796875,11300,7.763613224029541,395500,278,-5.245208740234375e-06,1000.0,44103.48662746
105291.359375,11400,7.742104530334473,399000,277,1.4901161193847656e-06,1000.0,44558.44903651
47361.4609375,11500,7.713237762451172,402500,278,3.5762786865234375e-07,1000.0,44558.44903651
